Model,DPO4054
Firmware Version,2.68

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,4e-05
Horizontal Delay,0.0007592
Sample Interval,4e-07
Record Length,1000
Gating,0.0% to 100.0%
Probe Attenuation,10
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.01
Vertical Position,0
,
,
,
Label,
TIME,CH3
5.592e-04,0.0173703
5.596e-04,0.0174313
5.600e-04,0.0173859
5.604e-04,0.0172453
5.608e-04,0.01725
5.612e-04,0.0171359
5.616e-04,0.0171344
5.620e-04,0.0170281
5.624e-04,0.0171609
5.628e-04,0.0172031
5.632e-04,0.0170203
5.636e-04,0.0169797
5.640e-04,0.0169422
5.644e-04,0.0168562
5.648e-04,0.0167312
5.652e-04,0.0168313
5.656e-04,0.0166406
5.660e-04,0.0167766
5.664e-04,0.0165563
5.668e-04,0.0166516
5.672e-04,0.0165375
5.676e-04,0.0165813
5.680e-04,0.0164531
5.684e-04,0.0165188
5.688e-04,0.0163859
5.692e-04,0.0164438
5.696e-04,0.0163766
5.700e-04,0.0164063
5.704e-04,0.0163734
5.708e-04,0.0162031
5.712e-04,0.0164094
5.716e-04,0.0164641
5.720e-04,0.0161344
5.724e-04,0.0160781
5.728e-04,0.0160031
5.732e-04,0.0160516
5.736e-04,0.0161047
5.740e-04,0.0159156
5.744e-04,0.0160078
5.748e-04,0.0159188
5.752e-04,0.0158484
5.756e-04,0.0157578
5.760e-04,0.0158984
5.764e-04,0.0155531
5.768e-04,0.0157859
5.772e-04,0.0157344
5.776e-04,0.0156047
5.780e-04,0.0155672
5.784e-04,0.0157156
5.788e-04,0.0155125
5.792e-04,0.0155625
5.796e-04,0.0153813
5.800e-04,0.0154953
5.804e-04,0.0154656
5.808e-04,0.0154297
5.812e-04,0.0154109
5.816e-04,0.0152219
5.820e-04,0.0152703
5.824e-04,0.0152078
5.828e-04,0.0151234
5.832e-04,0.0151719
5.836e-04,0.0150172
5.840e-04,0.0151016
5.844e-04,0.0150422
5.848e-04,0.0149219
5.852e-04,0.0148984
5.856e-04,0.0151219
5.860e-04,0.0146453
5.864e-04,0.0148813
5.868e-04,0.01495
5.872e-04,0.0148719
5.876e-04,0.0146438
5.880e-04,0.0148094
5.884e-04,0.0147219
5.888e-04,0.0147391
5.892e-04,0.0148703
5.896e-04,0.0145984
5.900e-04,0.0147063
5.904e-04,0.0145891
5.908e-04,0.0146812
5.912e-04,0.0146375
5.916e-04,0.0145141
5.920e-04,0.0143594
5.924e-04,0.0145219
5.928e-04,0.0144
5.932e-04,0.0144594
5.936e-04,0.0143375
5.940e-04,0.0142234
5.944e-04,0.0141984
5.948e-04,0.0142891
5.952e-04,0.0143266
5.956e-04,0.0139688
5.960e-04,0.0140656
5.964e-04,0.0140922
5.968e-04,0.0141281
5.972e-04,0.0138859
5.976e-04,0.0139797
5.980e-04,0.0140969
5.984e-04,0.0138281
5.988e-04,0.0140125
5.992e-04,0.0138469
5.996e-04,0.0138875
6.000e-04,0.0138188
6.004e-04,0.0137281
6.008e-04,0.0138188
6.012e-04,0.0137547
6.016e-04,0.0136078
6.020e-04,0.0136797
6.024e-04,0.0136391
6.028e-04,0.0132984
6.032e-04,0.0135672
6.036e-04,0.0132906
6.040e-04,0.0134859
6.044e-04,0.0134219
6.048e-04,0.0132688
6.052e-04,0.0134922
6.056e-04,0.0131734
6.060e-04,0.0132281
6.064e-04,0.0134438
6.068e-04,0.0134828
6.072e-04,0.0132703
6.076e-04,0.0131594
6.080e-04,0.0133328
6.084e-04,0.0131828
6.088e-04,0.0130516
6.092e-04,0.0131516
6.096e-04,0.0131047
6.100e-04,0.0131672
6.104e-04,0.0130906
6.108e-04,0.0129422
6.112e-04,0.0130094
6.116e-04,0.0129625
6.120e-04,0.0130531
6.124e-04,0.0128281
6.128e-04,0.0129047
6.132e-04,0.0127203
6.136e-04,0.0128781
6.140e-04,0.0128172
6.144e-04,0.0127813
6.148e-04,0.0127656
6.152e-04,0.0128
6.156e-04,0.0125391
6.160e-04,0.0126797
6.164e-04,0.0126297
6.168e-04,0.0124703
6.172e-04,0.0125906
6.176e-04,0.0124781
6.180e-04,0.0124875
6.184e-04,0.0124875
6.188e-04,0.0123563
6.192e-04,0.0122063
6.196e-04,0.0123
6.200e-04,0.0123703
6.204e-04,0.01235
6.208e-04,0.0124266
6.212e-04,0.0123344
6.216e-04,0.0122984
6.220e-04,0.0121578
6.224e-04,0.0122766
6.228e-04,0.0120797
6.232e-04,0.0123203
6.236e-04,0.0120219
6.240e-04,0.0121609
6.244e-04,0.0120063
6.248e-04,0.0119672
6.252e-04,0.0121219
6.256e-04,0.0120063
6.260e-04,0.0120016
6.264e-04,0.0119188
6.268e-04,0.0119453
6.272e-04,0.0118297
6.276e-04,0.0118906
6.280e-04,0.0118922
6.284e-04,0.0117828
6.288e-04,0.0118234
6.292e-04,0.0119188
6.296e-04,0.0116375
6.300e-04,0.0118203
6.304e-04,0.0116438
6.308e-04,0.0116938
6.312e-04,0.0118031
6.316e-04,0.0116672
6.320e-04,0.0116047
6.324e-04,0.0115016
6.328e-04,0.0114328
6.332e-04,0.0115641
6.336e-04,0.0115641
6.340e-04,0.0115891
6.344e-04,0.0115063
6.348e-04,0.0113813
6.352e-04,0.0115188
6.356e-04,0.0113125
6.360e-04,0.0113406
6.364e-04,0.011225
6.368e-04,0.0112609
6.372e-04,0.0111234
6.376e-04,0.0110922
6.380e-04,0.0112719
6.384e-04,0.0112984
6.388e-04,0.0110344
6.392e-04,0.0110406
6.396e-04,0.0111813
6.400e-04,0.0111859
6.404e-04,0.0111125
6.408e-04,0.0111719
6.412e-04,0.0109438
6.416e-04,0.0109
6.420e-04,0.0109594
6.424e-04,0.0110406
6.428e-04,0.0108453
6.432e-04,0.0108266
6.436e-04,0.0110109
6.440e-04,0.0109563
6.444e-04,0.010825
6.448e-04,0.0107703
6.452e-04,0.0107688
6.456e-04,0.0107125
6.460e-04,0.0108422
6.464e-04,0.0108656
6.468e-04,0.0107922
6.472e-04,0.0105594
6.476e-04,0.0105422
6.480e-04,0.0105828
6.484e-04,0.0106266
6.488e-04,0.0105469
6.492e-04,0.0105266
6.496e-04,0.0104125
6.500e-04,0.01045
6.504e-04,0.0105234
6.508e-04,0.0102906
6.512e-04,0.0104156
6.516e-04,0.0103406
6.520e-04,0.0101734
6.524e-04,0.0104125
6.528e-04,0.0102
6.532e-04,0.0102547
6.536e-04,0.0102484
6.540e-04,0.0101937
6.544e-04,0.0101391
6.548e-04,0.0101797
6.552e-04,0.0102469
6.556e-04,0.0102547
6.560e-04,0.0101266
6.564e-04,0.0100438
6.568e-04,0.0101281
6.572e-04,0.00994375
6.576e-04,0.00998906
6.580e-04,0.0100641
6.584e-04,0.00994531
6.588e-04,0.0100656
6.592e-04,0.0100609
6.596e-04,0.00984687
6.600e-04,0.00972656
6.604e-04,0.00993438
6.608e-04,0.00999844
6.612e-04,0.00995313
6.616e-04,0.00983438
6.620e-04,0.00980781
6.624e-04,0.0100063
6.628e-04,0.00977344
6.632e-04,0.00967187
6.636e-04,0.00976406
6.640e-04,0.00970156
6.644e-04,0.0097375
6.648e-04,0.00962656
6.652e-04,0.00968125
6.656e-04,0.00945
6.660e-04,0.00943125
6.664e-04,0.00952813
6.668e-04,0.0094375
6.672e-04,0.00951562
6.676e-04,0.00946563
6.680e-04,0.00944063
6.684e-04,0.00942031
6.688e-04,0.0094375
6.692e-04,0.00929063
6.696e-04,0.00942656
6.700e-04,0.00941719
6.704e-04,0.00925469
6.708e-04,0.00944375
6.712e-04,0.00939375
6.716e-04,0.00909844
6.720e-04,0.00921875
6.724e-04,0.00909844
6.728e-04,0.00908438
6.732e-04,0.00908906
6.736e-04,0.00905
6.740e-04,0.00921406
6.744e-04,0.00923906
6.748e-04,0.00920313
6.752e-04,0.00917656
6.756e-04,0.00899375
6.760e-04,0.00885156
6.764e-04,0.00918906
6.768e-04,0.00893594
6.772e-04,0.00895938
6.776e-04,0.00894063
6.780e-04,0.00896875
6.784e-04,0.00881875
6.788e-04,0.00891719
6.792e-04,0.0089
6.796e-04,0.00873594
6.800e-04,0.00884844
6.804e-04,0.00887656
6.808e-04,0.00865938
6.812e-04,0.00867188
6.816e-04,0.00866875
6.820e-04,0.00879219
6.824e-04,0.00875625
6.828e-04,0.00856406
6.832e-04,0.00872188
6.836e-04,0.00866094
6.840e-04,0.00871719
6.844e-04,0.00859844
6.848e-04,0.00868125
6.852e-04,0.00848438
6.856e-04,0.00841719
6.860e-04,0.00872656
6.864e-04,0.00847031
6.868e-04,0.00855938
6.872e-04,0.00852813
6.876e-04,0.00835313
6.880e-04,0.0083125
6.884e-04,0.00835625
6.888e-04,0.00837656
6.892e-04,0.00844219
6.896e-04,0.00838594
6.900e-04,0.00837344
6.904e-04,0.008375
6.908e-04,0.008175
6.912e-04,0.00836094
6.916e-04,0.00825469
6.920e-04,0.00822031
6.924e-04,0.00807188
6.928e-04,0.00816719
6.932e-04,0.00816406
6.936e-04,0.00817031
6.940e-04,0.00831719
6.944e-04,0.00812656
6.948e-04,0.00808906
6.952e-04,0.00827969
6.956e-04,0.00806875
6.960e-04,0.00808281
6.964e-04,0.00801094
6.968e-04,0.00802656
6.972e-04,0.00802188
6.976e-04,0.00802031
6.980e-04,0.00787344
6.984e-04,0.00780625
6.988e-04,0.00783906
6.992e-04,0.00802969
6.996e-04,0.00778594
7.000e-04,0.007875
7.004e-04,0.00785
7.008e-04,0.00780156
7.012e-04,0.00774375
7.016e-04,0.00783281
7.020e-04,0.00772969
7.024e-04,0.0077125
7.028e-04,0.00775938
7.032e-04,0.00769219
7.036e-04,0.00763125
7.040e-04,0.00773281
7.044e-04,0.00765
7.048e-04,0.00775625
7.052e-04,0.00763125
7.056e-04,0.0077125
7.060e-04,0.00759219
7.064e-04,0.00752344
7.068e-04,0.00758594
7.072e-04,0.00758281
7.076e-04,0.00747031
7.080e-04,0.00753125
7.084e-04,0.00730938
7.088e-04,0.00749844
7.092e-04,0.00753281
7.096e-04,0.00742969
7.100e-04,0.00751875
7.104e-04,0.00755
7.108e-04,0.00733281
7.112e-04,0.00753125
7.116e-04,0.00734688
7.120e-04,0.00735
7.124e-04,0.00747031
7.128e-04,0.00731094
7.132e-04,0.00745625
7.136e-04,0.00723125
7.140e-04,0.00735938
7.144e-04,0.00725781
7.148e-04,0.00734375
7.152e-04,0.00718281
7.156e-04,0.00725313
7.160e-04,0.00719844
7.164e-04,0.00709844
7.168e-04,0.00707813
7.172e-04,0.00716719
7.176e-04,0.00714375
7.180e-04,0.00708125
7.184e-04,0.00711406
7.188e-04,0.00715156
7.192e-04,0.00707344
7.196e-04,0.00702656
7.200e-04,0.00709844
7.204e-04,0.00698594
7.208e-04,0.00705625
7.212e-04,0.00703438
7.216e-04,0.00701094
7.220e-04,0.00677344
7.224e-04,0.0069
7.228e-04,0.00677344
7.232e-04,0.00692969
7.236e-04,0.00672031
7.240e-04,0.00682344
7.244e-04,0.00683125
7.248e-04,0.00677969
7.252e-04,0.00684219
7.256e-04,0.00664688
7.260e-04,0.00674063
7.264e-04,0.00695313
7.268e-04,0.00675625
7.272e-04,0.00668125
7.276e-04,0.00667813
7.280e-04,0.00676094
7.284e-04,0.00676406
7.288e-04,0.00665781
7.292e-04,0.0067375
7.296e-04,0.00655625
7.300e-04,0.00654688
7.304e-04,0.00653438
7.308e-04,0.00670781
7.312e-04,0.00655625
7.316e-04,0.00654531
7.320e-04,0.00665156
7.324e-04,0.00656563
7.328e-04,0.00658437
7.332e-04,0.0066875
7.336e-04,0.00626094
7.340e-04,0.00639688
7.344e-04,0.00655625
7.348e-04,0.00641719
7.352e-04,0.00639219
7.356e-04,0.00640781
7.360e-04,0.00653594
7.364e-04,0.00627969
7.368e-04,0.00637031
7.372e-04,0.00633906
