Model,DPO4054
Firmware Version,2.68

Waveform Type,ANALOG,,,Waveform Type,ANALOG
Point Format,Y,,,Point Format,Y
Horizontal Units,s,,,Horizontal Units,s
Horizontal Scale,0.0002,,,Horizontal Scale,0.0002
Horizontal Delay,0.000218,,,Horizontal Delay,0.000218
Sample Interval,2e-06,,,Sample Interval,2e-06
Record Length,1000,,,Record Length,1000
Gating,0.0% to 100.0%,,,Gating,0.0% to 100.0%
Probe Attenuation,1,,,Probe Attenuation,1
Vertical Units,V,,,Vertical Units,V
Vertical Offset,0,,,Vertical Offset,0
Vertical Scale,0.01,,,Vertical Scale,0.002
Vertical Position,0,,,Vertical Position,0
,,,,,
,,,,,
,,,,,
Label,,,,Label,
TIME,CH2,CH3,,TIME,"MATH<CH2-CH3>"
-6.220e-04,0.02455,0.0191063,,-6.220e-04,0.00544375
-6.200e-04,0.0245891,0.0191828,,-6.200e-04,0.00540625
-6.180e-04,0.0245953,0.0192844,,-6.180e-04,0.00531094
-6.160e-04,0.0246469,0.0192266,,-6.160e-04,0.00542031
-6.140e-04,0.0246594,0.0192641,,-6.140e-04,0.00539531
-6.120e-04,0.0246922,0.0193078,,-6.120e-04,0.00538438
-6.100e-04,0.0247234,0.0192484,,-6.100e-04,0.005475
-6.080e-04,0.0247609,0.0194234,,-6.080e-04,0.0053375
-6.060e-04,0.0247922,0.0195609,,-6.060e-04,0.00523125
-6.040e-04,0.0248188,0.0196453,,-6.040e-04,0.00517344
-6.020e-04,0.0248656,0.01985,,-6.020e-04,0.00501563
-6.000e-04,0.0248828,0.0198328,,-6.000e-04,0.00505
-5.980e-04,0.0249313,0.0198297,,-5.980e-04,0.00510156
-5.960e-04,0.0249516,0.0198078,,-5.960e-04,0.00514375
-5.940e-04,0.0249719,0.0198484,,-5.940e-04,0.00512344
-5.920e-04,0.0249953,0.0199953,,-5.920e-04,0.005
-5.900e-04,0.025025,0.02,,-5.900e-04,0.005025
-5.880e-04,0.0250375,0.0200156,,-5.880e-04,0.00502188
-5.860e-04,0.0250828,0.0201141,,-5.860e-04,0.00496875
-5.840e-04,0.0251094,0.0201172,,-5.840e-04,0.00499219
-5.820e-04,0.0251375,0.019975,,-5.820e-04,0.0051625
-5.800e-04,0.0251828,0.0200125,,-5.800e-04,0.00517031
-5.780e-04,0.0252,0.0201266,,-5.780e-04,0.00507344
-5.760e-04,0.0252203,0.020125,,-5.760e-04,0.00509531
-5.740e-04,0.0252484,0.0201703,,-5.740e-04,0.00507813
-5.720e-04,0.0252891,0.0203703,,-5.720e-04,0.00491875
-5.700e-04,0.0253141,0.0204578,,-5.700e-04,0.00485625
-5.680e-04,0.0253531,0.0203813,,-5.680e-04,0.00497188
-5.660e-04,0.0254016,0.0203938,,-5.660e-04,0.00500781
-5.640e-04,0.0254141,0.0204172,,-5.640e-04,0.00499688
-5.620e-04,0.0254391,0.0204703,,-5.620e-04,0.00496875
-5.600e-04,0.0254562,0.0206047,,-5.600e-04,0.00485156
-5.580e-04,0.0254922,0.0207422,,-5.580e-04,0.00475
-5.560e-04,0.0255125,0.0207391,,-5.560e-04,0.00477344
-5.540e-04,0.0255203,0.0208031,,-5.540e-04,0.00471719
-5.520e-04,0.0255375,0.0208891,,-5.520e-04,0.00464844
-5.500e-04,0.0255578,0.0208172,,-5.500e-04,0.00474063
-5.480e-04,0.0255766,0.02095,,-5.480e-04,0.00462656
-5.460e-04,0.0256141,0.0208969,,-5.460e-04,0.00471719
-5.440e-04,0.0256188,0.0208734,,-5.440e-04,0.00474531
-5.420e-04,0.0256469,0.0208484,,-5.420e-04,0.00479844
-5.400e-04,0.0256859,0.020975,,-5.400e-04,0.00471094
-5.380e-04,0.0257313,0.0210156,,-5.380e-04,0.00471563
-5.360e-04,0.0257594,0.0210188,,-5.360e-04,0.00474063
-5.340e-04,0.0257641,0.0209953,,-5.340e-04,0.00476875
-5.320e-04,0.0257938,0.0209047,,-5.320e-04,0.00488906
-5.300e-04,0.0258078,0.0211625,,-5.300e-04,0.00464531
-5.280e-04,0.0258406,0.0211531,,-5.280e-04,0.0046875
-5.260e-04,0.0258531,0.0212875,,-5.260e-04,0.00456563
-5.240e-04,0.0258906,0.0212594,,-5.240e-04,0.00463125
-5.220e-04,0.0259156,0.0214547,,-5.220e-04,0.00446094
-5.200e-04,0.0259313,0.0214672,,-5.200e-04,0.00446406
-5.180e-04,0.0259516,0.0214531,,-5.180e-04,0.00449844
-5.160e-04,0.0244812,0.021,,-5.160e-04,0.00348125
-5.140e-04,0.0239859,0.0210688,,-5.140e-04,0.00291719
-5.120e-04,0.0236203,0.0210203,,-5.120e-04,0.0026
-5.100e-04,0.0232734,0.0210891,,-5.100e-04,0.00218438
-5.080e-04,0.0229531,0.0211969,,-5.080e-04,0.00175625
-5.060e-04,0.0226328,0.0210313,,-5.060e-04,0.00160156
-5.040e-04,0.0223344,0.0209328,,-5.040e-04,0.00140156
-5.020e-04,0.0220516,0.0208719,,-5.020e-04,0.00117969
-5.000e-04,0.0217547,0.0207234,,-5.000e-04,0.00103125
-4.980e-04,0.0214828,0.0207234,,-4.980e-04,0.000759375
-4.960e-04,0.0211984,0.0205688,,-4.960e-04,0.000629688
-4.940e-04,0.0208969,0.020475,,-4.940e-04,0.000421875
-4.920e-04,0.0206203,0.0205594,,-4.920e-04,6.09375e-05
-4.900e-04,0.0203703,0.0205969,,-4.900e-04,-0.000226563
-4.880e-04,0.020125,0.0205875,,-4.880e-04,-0.0004625
-4.860e-04,0.0198625,0.0205031,,-4.860e-04,-0.000640625
-4.840e-04,0.0196141,0.0204594,,-4.840e-04,-0.000845313
-4.820e-04,0.019375,0.0203969,,-4.820e-04,-0.00102187
-4.800e-04,0.0191391,0.0204672,,-4.800e-04,-0.00132813
-4.780e-04,0.0189438,0.0204453,,-4.780e-04,-0.00150156
-4.760e-04,0.0187313,0.0205641,,-4.760e-04,-0.00183281
-4.740e-04,0.0185578,0.0206047,,-4.740e-04,-0.00204688
-4.720e-04,0.018525,0.0204828,,-4.720e-04,-0.00195781
-4.700e-04,0.0184234,0.0203047,,-4.700e-04,-0.00188125
-4.680e-04,0.0183062,0.0201531,,-4.680e-04,-0.00184688
-4.660e-04,0.0181641,0.0199781,,-4.660e-04,-0.00181406
-4.640e-04,0.0180344,0.0198828,,-4.640e-04,-0.00184844
-4.620e-04,0.0179188,0.0199625,,-4.620e-04,-0.00204375
-4.600e-04,0.0177859,0.02,,-4.600e-04,-0.00221406
-4.580e-04,0.0176484,0.0199625,,-4.580e-04,-0.00231406
-4.560e-04,0.0175297,0.0198156,,-4.560e-04,-0.00228594
-4.540e-04,0.0173906,0.0197344,,-4.540e-04,-0.00234375
-4.520e-04,0.0172453,0.0196625,,-4.520e-04,-0.00241719
-4.500e-04,0.0171344,0.0196828,,-4.500e-04,-0.00254844
-4.480e-04,0.0170125,0.0196016,,-4.480e-04,-0.00258906
-4.460e-04,0.0169031,0.0196781,,-4.460e-04,-0.002775
-4.440e-04,0.0167531,0.0196469,,-4.440e-04,-0.00289375
-4.420e-04,0.0166641,0.019675,,-4.420e-04,-0.00301094
-4.400e-04,0.0165469,0.0197109,,-4.400e-04,-0.00316406
-4.380e-04,0.0164156,0.0197063,,-4.380e-04,-0.00329063
-4.360e-04,0.0162937,0.0196531,,-4.360e-04,-0.00335938
-4.340e-04,0.0161844,0.0196328,,-4.340e-04,-0.00344844
-4.320e-04,0.0160594,0.0193625,,-4.320e-04,-0.00330313
-4.300e-04,0.01595,0.0193734,,-4.300e-04,-0.00342344
-4.280e-04,0.0158438,0.0193859,,-4.280e-04,-0.00354219
-4.260e-04,0.0157375,0.0194109,,-4.260e-04,-0.00367344
-4.240e-04,0.0156312,0.0192969,,-4.240e-04,-0.00366563
-4.220e-04,0.0155391,0.019175,,-4.220e-04,-0.00363594
-4.200e-04,0.0154297,0.0189547,,-4.200e-04,-0.003525
-4.180e-04,0.0153516,0.01885,,-4.180e-04,-0.00349844
-4.160e-04,0.0152422,0.0187531,,-4.160e-04,-0.00351094
-4.140e-04,0.0151094,0.0187812,,-4.140e-04,-0.00367188
-4.120e-04,0.0150281,0.0186906,,-4.120e-04,-0.0036625
-4.100e-04,0.0149469,0.0186703,,-4.100e-04,-0.00372344
-4.080e-04,0.0148641,0.0185781,,-4.080e-04,-0.00371406
-4.060e-04,0.0147469,0.0184969,,-4.060e-04,-0.00375
-4.040e-04,0.0146688,0.0185625,,-4.040e-04,-0.00389375
-4.020e-04,0.0145641,0.0185078,,-4.020e-04,-0.00394375
-4.000e-04,0.0144734,0.0185422,,-4.000e-04,-0.00406875
-3.980e-04,0.0143922,0.0182891,,-3.980e-04,-0.00389688
-3.960e-04,0.0143,0.0183547,,-3.960e-04,-0.00405469
-3.940e-04,0.0142219,0.018325,,-3.940e-04,-0.00410313
-3.920e-04,0.0141281,0.0182766,,-3.920e-04,-0.00414844
-3.900e-04,0.0140156,0.0180813,,-3.900e-04,-0.00406563
-3.880e-04,0.0139344,0.0178578,,-3.880e-04,-0.00392344
-3.860e-04,0.0138328,0.0178906,,-3.860e-04,-0.00405781
-3.840e-04,0.0137672,0.0178391,,-3.840e-04,-0.00407187
-3.820e-04,0.0136938,0.0177687,,-3.820e-04,-0.004075
-3.800e-04,0.0136047,0.0177703,,-3.800e-04,-0.00416563
-3.780e-04,0.013525,0.0175344,,-3.780e-04,-0.00400937
-3.760e-04,0.0134578,0.0175609,,-3.760e-04,-0.00410313
-3.740e-04,0.0133891,0.0173719,,-3.740e-04,-0.00398281
-3.720e-04,0.0133,0.0173672,,-3.720e-04,-0.00406719
-3.700e-04,0.0132156,0.0173906,,-3.700e-04,-0.004175
-3.680e-04,0.01315,0.0173188,,-3.680e-04,-0.00416875
-3.660e-04,0.0130781,0.0173625,,-3.660e-04,-0.00428437
-3.640e-04,0.013025,0.0172016,,-3.640e-04,-0.00417656
-3.620e-04,0.0129391,0.0173266,,-3.620e-04,-0.0043875
-3.600e-04,0.0128703,0.0173172,,-3.600e-04,-0.00444688
-3.580e-04,0.0128281,0.0173875,,-3.580e-04,-0.00455938
-3.560e-04,0.0127359,0.0171797,,-3.560e-04,-0.00444375
-3.540e-04,0.0126781,0.0172172,,-3.540e-04,-0.00453906
-3.520e-04,0.0126187,0.0171922,,-3.520e-04,-0.00457344
-3.500e-04,0.0125656,0.0171875,,-3.500e-04,-0.00462188
-3.480e-04,0.0124875,0.0171344,,-3.480e-04,-0.00464687
-3.460e-04,0.0124281,0.0171188,,-3.460e-04,-0.00469063
-3.440e-04,0.012375,0.0171109,,-3.440e-04,-0.00473594
-3.420e-04,0.0122844,0.0169406,,-3.420e-04,-0.00465625
-3.400e-04,0.0122313,0.0166844,,-3.400e-04,-0.00445313
-3.380e-04,0.0121797,0.0166719,,-3.380e-04,-0.00449219
-3.360e-04,0.0121031,0.0165859,,-3.360e-04,-0.00448281
-3.340e-04,0.0120609,0.0164812,,-3.340e-04,-0.00442031
-3.320e-04,0.0119844,0.0164984,,-3.320e-04,-0.00451406
-3.300e-04,0.0119313,0.0164844,,-3.300e-04,-0.00455313
-3.280e-04,0.0118984,0.0164563,,-3.280e-04,-0.00455781
-3.260e-04,0.0118266,0.0161328,,-3.260e-04,-0.00430625
-3.240e-04,0.0117687,0.0161594,,-3.240e-04,-0.00439063
-3.220e-04,0.0117109,0.0161594,,-3.220e-04,-0.00444844
-3.200e-04,0.0116672,0.0161438,,-3.200e-04,-0.00447656
-3.180e-04,0.0116156,0.0161109,,-3.180e-04,-0.00449531
-3.160e-04,0.0115547,0.0160703,,-3.160e-04,-0.00451563
-3.140e-04,0.0114844,0.0160094,,-3.140e-04,-0.004525
-3.120e-04,0.0114328,0.0160297,,-3.120e-04,-0.00459688
-3.100e-04,0.0113828,0.0157906,,-3.100e-04,-0.00440781
-3.080e-04,0.0113109,0.0156578,,-3.080e-04,-0.00434688
-3.060e-04,0.0112406,0.0155547,,-3.060e-04,-0.00431406
-3.040e-04,0.0111922,0.0154281,,-3.040e-04,-0.00423594
-3.020e-04,0.0111547,0.0154281,,-3.020e-04,-0.00427344
-3.000e-04,0.0111031,0.0153609,,-3.000e-04,-0.00425781
-2.980e-04,0.0110406,0.0153469,,-2.980e-04,-0.00430625
-2.960e-04,0.0110063,0.01515,,-2.960e-04,-0.00414375
-2.940e-04,0.0109203,0.0151375,,-2.940e-04,-0.00421719
-2.920e-04,0.0108641,0.0150031,,-2.920e-04,-0.00413906
-2.900e-04,0.0108172,0.0148797,,-2.900e-04,-0.0040625
-2.880e-04,0.0107891,0.0148125,,-2.880e-04,-0.00402344
-2.860e-04,0.0107078,0.0149,,-2.860e-04,-0.00419219
-2.840e-04,0.0106766,0.0149422,,-2.840e-04,-0.00426563
-2.820e-04,0.0106109,0.0150063,,-2.820e-04,-0.00439531
-2.800e-04,0.0105734,0.0150797,,-2.800e-04,-0.00450625
-2.780e-04,0.0105188,0.0149328,,-2.780e-04,-0.00441406
-2.760e-04,0.0104609,0.0148109,,-2.760e-04,-0.00435
-2.740e-04,0.0104125,0.0147875,,-2.740e-04,-0.004375
-2.720e-04,0.0103422,0.0145891,,-2.720e-04,-0.00424688
-2.700e-04,0.0102891,0.0147172,,-2.700e-04,-0.00442813
-2.680e-04,0.0102578,0.0147422,,-2.680e-04,-0.00448438
-2.660e-04,0.0101813,0.0146563,,-2.660e-04,-0.004475
-2.640e-04,0.0101641,0.0145406,,-2.640e-04,-0.00437656
-2.620e-04,0.0101063,0.0143125,,-2.620e-04,-0.00420625
-2.600e-04,0.0100578,0.0141344,,-2.600e-04,-0.00407656
-2.580e-04,0.00999844,0.0141297,,-2.580e-04,-0.00413125
-2.560e-04,0.00995625,0.0140234,,-2.560e-04,-0.00406719
-2.540e-04,0.00992031,0.0140125,,-2.540e-04,-0.00409219
-2.520e-04,0.00987656,0.0139719,,-2.520e-04,-0.00409531
-2.500e-04,0.00982344,0.0138031,,-2.500e-04,-0.00397969
-2.480e-04,0.00979063,0.0138094,,-2.480e-04,-0.00401875
-2.460e-04,0.00975781,0.0137828,,-2.460e-04,-0.004025
-2.440e-04,0.00965313,0.0136328,,-2.440e-04,-0.00397969
-2.420e-04,0.00964531,0.0134625,,-2.420e-04,-0.00381719
-2.400e-04,0.00960469,0.0135797,,-2.400e-04,-0.003975
-2.380e-04,0.00956719,0.0136016,,-2.380e-04,-0.00403438
-2.360e-04,0.00950313,0.0136344,,-2.360e-04,-0.00413125
-2.340e-04,0.00947813,0.0136672,,-2.340e-04,-0.00418906
-2.320e-04,0.00942969,0.0135516,,-2.320e-04,-0.00412188
-2.300e-04,0.00936875,0.0135563,,-2.300e-04,-0.0041875
-2.280e-04,0.00932656,0.0134422,,-2.280e-04,-0.00411563
-2.260e-04,0.00927031,0.0133328,,-2.260e-04,-0.0040625
-2.240e-04,0.00923281,0.0133125,,-2.240e-04,-0.00407969
-2.220e-04,0.00920156,0.0133297,,-2.220e-04,-0.00412813
-2.200e-04,0.00914844,0.0132141,,-2.200e-04,-0.00406563
-2.180e-04,0.00911094,0.0131656,,-2.180e-04,-0.00405469
-2.160e-04,0.00905156,0.0129594,,-2.160e-04,-0.00390781
-2.140e-04,0.00901563,0.0127641,,-2.140e-04,-0.00374844
-2.120e-04,0.0089625,0.0126547,,-2.120e-04,-0.00369219
-2.100e-04,0.00894844,0.0125297,,-2.100e-04,-0.00358125
-2.080e-04,0.00891719,0.0125844,,-2.080e-04,-0.00366719
-2.060e-04,0.00887656,0.0124844,,-2.060e-04,-0.00360781
-2.040e-04,0.00883906,0.0126344,,-2.040e-04,-0.00379531
-2.020e-04,0.0088,0.0125781,,-2.020e-04,-0.00377813
-2.000e-04,0.00875937,0.0125047,,-2.000e-04,-0.00374531
-1.980e-04,0.00868594,0.0124156,,-1.980e-04,-0.00372969
-1.960e-04,0.00868594,0.0123297,,-1.960e-04,-0.00364375
-1.940e-04,0.00862969,0.0122328,,-1.940e-04,-0.00360313
-1.920e-04,0.0085875,0.0122484,,-1.920e-04,-0.00366094
-1.900e-04,0.00858906,0.0122359,,-1.900e-04,-0.00364688
-1.880e-04,0.00851406,0.0122938,,-1.880e-04,-0.00377969
-1.860e-04,0.00848281,0.0123953,,-1.860e-04,-0.0039125
-1.840e-04,0.00844219,0.0122328,,-1.840e-04,-0.00379063
-1.820e-04,0.00837969,0.0120625,,-1.820e-04,-0.00368281
-1.800e-04,0.00833906,0.0119609,,-1.800e-04,-0.00362188
-1.780e-04,0.00830469,0.0119406,,-1.780e-04,-0.00363594
-1.760e-04,0.00827187,0.0118172,,-1.760e-04,-0.00354531
-1.740e-04,0.00824375,0.0118953,,-1.740e-04,-0.00365156
-1.720e-04,0.00819062,0.0119406,,-1.720e-04,-0.00375
-1.700e-04,0.00817656,0.0119031,,-1.700e-04,-0.00372656
-1.680e-04,0.00814844,0.0117453,,-1.680e-04,-0.00359688
-1.660e-04,0.00809219,0.0116875,,-1.660e-04,-0.00359531
-1.640e-04,0.00808125,0.0115219,,-1.640e-04,-0.00344063
-1.620e-04,0.00802031,0.0114969,,-1.620e-04,-0.00347656
-1.600e-04,0.00801094,0.0115578,,-1.600e-04,-0.00354688
-1.580e-04,0.007975,0.01155,,-1.580e-04,-0.003575
-1.560e-04,0.00795313,0.0115078,,-1.560e-04,-0.00355469
-1.540e-04,0.00791406,0.0115,,-1.540e-04,-0.00358594
-1.520e-04,0.00788906,0.0115297,,-1.520e-04,-0.00364063
-1.500e-04,0.00783594,0.0113953,,-1.500e-04,-0.00355938
-1.480e-04,0.00781094,0.0112328,,-1.480e-04,-0.00342188
-1.460e-04,0.00776719,0.0112,,-1.460e-04,-0.00343281
-1.440e-04,0.00769531,0.0110578,,-1.440e-04,-0.0033625
-1.420e-04,0.007675,0.0110016,,-1.420e-04,-0.00332656
-1.400e-04,0.00764531,0.0110734,,-1.400e-04,-0.00342813
-1.380e-04,0.00762031,0.0109391,,-1.380e-04,-0.00331875
-1.360e-04,0.00759375,0.0108313,,-1.360e-04,-0.0032375
-1.340e-04,0.00754063,0.0106234,,-1.340e-04,-0.00308281
-1.320e-04,0.0075125,0.0106688,,-1.320e-04,-0.00315625
-1.300e-04,0.00747813,0.0106078,,-1.300e-04,-0.00312969
-1.280e-04,0.00746563,0.0106203,,-1.280e-04,-0.00315469
-1.260e-04,0.00741406,0.0104531,,-1.260e-04,-0.00303906
-1.240e-04,0.00739688,0.0106609,,-1.240e-04,-0.00326406
-1.220e-04,0.00736406,0.0106,,-1.220e-04,-0.00323594
-1.200e-04,0.00732344,0.0105859,,-1.200e-04,-0.0032625
-1.180e-04,0.00728906,0.0105531,,-1.180e-04,-0.00326406
-1.160e-04,0.007275,0.0104656,,-1.160e-04,-0.00319063
-1.140e-04,0.00724375,0.0105672,,-1.140e-04,-0.00332344
-1.120e-04,0.00721406,0.0104578,,-1.120e-04,-0.00324375
-1.100e-04,0.00718594,0.0105859,,-1.100e-04,-0.0034
-1.080e-04,0.00715469,0.0104641,,-1.080e-04,-0.00330938
-1.060e-04,0.0071,0.0105828,,-1.060e-04,-0.00348281
-1.040e-04,0.00707344,0.0104641,,-1.040e-04,-0.00339063
-1.020e-04,0.00704531,0.0104172,,-1.020e-04,-0.00337188
-1.000e-04,0.00699844,0.0102953,,-1.000e-04,-0.00329688
-9.800e-05,0.00697031,0.0102859,,-9.800e-05,-0.00331563
-9.600e-05,0.0069375,0.0100547,,-9.600e-05,-0.00311719
-9.400e-05,0.00692969,0.0101109,,-9.400e-05,-0.00318125
-9.200e-05,0.00689844,0.0100984,,-9.200e-05,-0.0032
-9.000e-05,0.00686094,0.00996094,,-9.000e-05,-0.0031
-8.800e-05,0.0068375,0.00983594,,-8.800e-05,-0.00299844
-8.600e-05,0.00679687,0.00975,,-8.600e-05,-0.00295313
-8.400e-05,0.00676875,0.009725,,-8.400e-05,-0.00295625
-8.200e-05,0.00674375,0.009725,,-8.200e-05,-0.00298125
-8.000e-05,0.00672656,0.00963594,,-8.000e-05,-0.00290938
-7.800e-05,0.00671406,0.00970469,,-7.800e-05,-0.00299063
-7.600e-05,0.00668594,0.00973437,,-7.600e-05,-0.00304844
-7.400e-05,0.00664219,0.00982344,,-7.400e-05,-0.00318125
-7.200e-05,0.00663281,0.0097,,-7.200e-05,-0.00306719
-7.000e-05,0.00659844,0.00965156,,-7.000e-05,-0.00305313
-6.800e-05,0.00656406,0.00964062,,-6.800e-05,-0.00307656
-6.600e-05,0.00653125,0.00957812,,-6.600e-05,-0.00304688
-6.400e-05,0.00650313,0.00956719,,-6.400e-05,-0.00306406
-6.200e-05,0.00646406,0.00950156,,-6.200e-05,-0.0030375
-6.000e-05,0.00643594,0.00960313,,-6.000e-05,-0.00316719
-5.800e-05,0.00640312,0.00952656,,-5.800e-05,-0.00312344
-5.600e-05,0.00639531,0.00949844,,-5.600e-05,-0.00310313
-5.400e-05,0.00636094,0.00938438,,-5.400e-05,-0.00302344
-5.200e-05,0.00632813,0.00916406,,-5.200e-05,-0.00283594
-5.000e-05,0.0063125,0.00910469,,-5.000e-05,-0.00279219
-4.800e-05,0.00630469,0.00907031,,-4.800e-05,-0.00276563
-4.600e-05,0.00628125,0.00904219,,-4.600e-05,-0.00276094
-4.400e-05,0.00623906,0.00914531,,-4.400e-05,-0.00290625
-4.200e-05,0.0062125,0.00915781,,-4.200e-05,-0.00294531
-4.000e-05,0.00619219,0.00895469,,-4.000e-05,-0.0027625
-3.800e-05,0.00617188,0.00892969,,-3.800e-05,-0.00275781
