Model,DPO4054
Firmware Version,2.68

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,4e-05
Horizontal Delay,0.0002328
Sample Interval,4e-07
Record Length,1000
Gating,0.0% to 100.0%
Probe Attenuation,10
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.01
Vertical Position,0
,
,
,
Label,
TIME,CH3
3.280e-05,0.0170766
3.320e-05,0.0169203
3.360e-05,0.0169516
3.400e-05,0.0169938
3.440e-05,0.0169375
3.480e-05,0.0167391
3.520e-05,0.0167188
3.560e-05,0.0167531
3.600e-05,0.0165938
3.640e-05,0.0166594
3.680e-05,0.0167359
3.720e-05,0.0166109
3.760e-05,0.0164859
3.800e-05,0.0164266
3.840e-05,0.0164031
3.880e-05,0.0165031
3.920e-05,0.0164125
3.960e-05,0.0163453
4.000e-05,0.0163328
4.040e-05,0.0163156
4.080e-05,0.0163406
4.120e-05,0.0161422
4.160e-05,0.0161797
4.200e-05,0.0160594
4.240e-05,0.0160016
4.280e-05,0.0159422
4.320e-05,0.015975
4.360e-05,0.0159781
4.400e-05,0.0158734
4.440e-05,0.0159094
4.480e-05,0.0158438
4.520e-05,0.0158469
4.560e-05,0.0158031
4.600e-05,0.0157609
4.640e-05,0.0156844
4.680e-05,0.0156563
4.720e-05,0.0157016
4.760e-05,0.0155781
4.800e-05,0.0155625
4.840e-05,0.0156281
4.880e-05,0.0154906
4.920e-05,0.0155078
4.960e-05,0.0153906
5.000e-05,0.0152703
5.040e-05,0.0153453
5.080e-05,0.0154453
5.120e-05,0.015175
5.160e-05,0.0152297
5.200e-05,0.0152594
5.240e-05,0.0151828
5.280e-05,0.0152063
5.320e-05,0.0151891
5.360e-05,0.0151516
5.400e-05,0.0150125
5.440e-05,0.0151156
5.480e-05,0.0148891
5.520e-05,0.0149375
5.560e-05,0.0150156
5.600e-05,0.0150781
5.640e-05,0.0148406
5.680e-05,0.0147734
5.720e-05,0.0148859
5.760e-05,0.0148016
5.800e-05,0.0146313
5.840e-05,0.0148031
5.880e-05,0.0146828
5.920e-05,0.0145609
5.960e-05,0.0146922
6.000e-05,0.01445
6.040e-05,0.0144063
6.080e-05,0.0144141
6.120e-05,0.0143609
6.160e-05,0.0144281
6.200e-05,0.0144156
6.240e-05,0.0144344
6.280e-05,0.0142906
6.320e-05,0.0141844
6.360e-05,0.0142188
6.400e-05,0.0142391
6.440e-05,0.014225
6.480e-05,0.0141594
6.520e-05,0.0139641
6.560e-05,0.0140531
6.600e-05,0.0140453
6.640e-05,0.0141719
6.680e-05,0.014125
6.720e-05,0.0140109
6.760e-05,0.0139875
6.800e-05,0.0139047
6.840e-05,0.0138891
6.880e-05,0.0139359
6.920e-05,0.0137688
6.960e-05,0.0137891
7.000e-05,0.0137641
7.040e-05,0.0136813
7.080e-05,0.0137563
7.120e-05,0.0136156
7.160e-05,0.0136375
7.200e-05,0.0135781
7.240e-05,0.0135563
7.280e-05,0.0134125
7.320e-05,0.0135625
7.360e-05,0.0135422
7.400e-05,0.0135672
7.440e-05,0.0134672
7.480e-05,0.0133516
7.520e-05,0.013425
7.560e-05,0.0134266
7.600e-05,0.0133734
7.640e-05,0.0132453
7.680e-05,0.0133125
7.720e-05,0.0130188
7.760e-05,0.0132875
7.800e-05,0.0131344
7.840e-05,0.0130781
7.880e-05,0.0131422
7.920e-05,0.0129344
7.960e-05,0.0130297
8.000e-05,0.013025
8.040e-05,0.0129297
8.080e-05,0.0129641
8.120e-05,0.0128219
8.160e-05,0.0129109
8.200e-05,0.0127359
8.240e-05,0.0127281
8.280e-05,0.0127469
8.320e-05,0.0127453
8.360e-05,0.0127828
8.400e-05,0.0127094
8.440e-05,0.0127078
8.480e-05,0.0126078
8.520e-05,0.0125656
8.560e-05,0.0126047
8.600e-05,0.0124703
8.640e-05,0.0125016
8.680e-05,0.0125203
8.720e-05,0.0124594
8.760e-05,0.0124172
8.800e-05,0.0124156
8.840e-05,0.0123781
8.880e-05,0.0124719
8.920e-05,0.0122813
8.960e-05,0.0123313
9.000e-05,0.0123031
9.040e-05,0.0122578
9.080e-05,0.0121906
9.120e-05,0.012125
9.160e-05,0.0121813
9.200e-05,0.0121688
9.240e-05,0.0121594
9.280e-05,0.0120609
9.320e-05,0.0119188
9.360e-05,0.0119969
9.400e-05,0.0119813
9.440e-05,0.0121719
9.480e-05,0.0117969
9.520e-05,0.0118438
9.560e-05,0.0119719
9.600e-05,0.0117063
9.640e-05,0.0118328
9.680e-05,0.0117297
9.720e-05,0.0118266
9.760e-05,0.0118047
9.800e-05,0.0116938
9.840e-05,0.0116453
9.880e-05,0.0116375
9.920e-05,0.0115922
9.960e-05,0.0116469
1.000e-04,0.0114547
1.004e-04,0.0116453
1.008e-04,0.0114891
1.012e-04,0.0114719
1.016e-04,0.0114609
1.020e-04,0.0114906
1.024e-04,0.0114031
1.028e-04,0.0113563
1.032e-04,0.01135
1.036e-04,0.0113547
1.040e-04,0.0112937
1.044e-04,0.011275
1.048e-04,0.0112344
1.052e-04,0.0111469
1.056e-04,0.0111687
1.060e-04,0.0112719
1.064e-04,0.0110797
1.068e-04,0.0111516
1.072e-04,0.011125
1.076e-04,0.0110672
1.080e-04,0.0110578
1.084e-04,0.0111109
1.088e-04,0.0110719
1.092e-04,0.0110391
1.096e-04,0.0109203
1.100e-04,0.0109563
1.104e-04,0.0108469
1.108e-04,0.0108438
1.112e-04,0.0108062
1.116e-04,0.0108281
1.120e-04,0.0108609
1.124e-04,0.0106875
1.128e-04,0.0108344
1.132e-04,0.01065
1.136e-04,0.0107016
1.140e-04,0.0106984
1.144e-04,0.0106016
1.148e-04,0.0106125
1.152e-04,0.0106797
1.156e-04,0.0105844
1.160e-04,0.0105688
1.164e-04,0.0105313
1.168e-04,0.0105031
1.172e-04,0.0103984
1.176e-04,0.0104672
1.180e-04,0.0104656
1.184e-04,0.0103812
1.188e-04,0.0104281
1.192e-04,0.0103922
1.196e-04,0.0104313
1.200e-04,0.0103766
1.204e-04,0.0102453
1.208e-04,0.0103156
1.212e-04,0.0102297
1.216e-04,0.0101969
1.220e-04,0.0100766
1.224e-04,0.0100656
1.228e-04,0.01035
1.232e-04,0.0100609
1.236e-04,0.0100734
1.240e-04,0.00997656
1.244e-04,0.0100609
1.248e-04,0.0101063
1.252e-04,0.00999688
1.256e-04,0.00998906
1.260e-04,0.00999688
1.264e-04,0.0100281
1.268e-04,0.00992188
1.272e-04,0.00979063
1.276e-04,0.00981562
1.280e-04,0.00970312
1.284e-04,0.00993281
1.288e-04,0.00985781
1.292e-04,0.00975312
1.296e-04,0.00976719
1.300e-04,0.00964531
1.304e-04,0.00969688
1.308e-04,0.00964531
1.312e-04,0.00970781
1.316e-04,0.00956563
1.320e-04,0.00939531
1.324e-04,0.00948281
1.328e-04,0.00966406
1.332e-04,0.00944844
1.336e-04,0.00952813
1.340e-04,0.00943125
1.344e-04,0.00950469
1.348e-04,0.00951719
1.352e-04,0.00926875
1.356e-04,0.00935625
1.360e-04,0.00944063
1.364e-04,0.00930156
1.368e-04,0.0092875
1.372e-04,0.009275
1.376e-04,0.00935625
1.380e-04,0.00918125
1.384e-04,0.00917031
1.388e-04,0.00921719
1.392e-04,0.00923906
1.396e-04,0.0091625
1.400e-04,0.00912031
1.404e-04,0.009025
1.408e-04,0.009125
1.412e-04,0.00906719
1.416e-04,0.0090125
1.420e-04,0.00896562
1.424e-04,0.00904375
1.428e-04,0.00903125
1.432e-04,0.00896562
1.436e-04,0.00904531
1.440e-04,0.00884688
1.444e-04,0.00883125
1.448e-04,0.00895156
1.452e-04,0.00889844
1.456e-04,0.00885938
1.460e-04,0.00881563
1.464e-04,0.00871719
1.468e-04,0.00870625
1.472e-04,0.00865781
1.476e-04,0.00885781
1.480e-04,0.00871719
1.484e-04,0.00863281
1.488e-04,0.00865156
1.492e-04,0.00866562
1.496e-04,0.00870156
1.500e-04,0.00866875
1.504e-04,0.00860469
1.508e-04,0.008575
1.512e-04,0.00854844
1.516e-04,0.008525
1.520e-04,0.00847031
1.524e-04,0.00843594
1.528e-04,0.00850781
1.532e-04,0.00838125
1.536e-04,0.00848125
1.540e-04,0.00843594
1.544e-04,0.00838438
1.548e-04,0.00840469
1.552e-04,0.00820313
1.556e-04,0.00821563
1.560e-04,0.00832969
1.564e-04,0.00836562
1.568e-04,0.00826875
1.572e-04,0.00817188
1.576e-04,0.00821719
1.580e-04,0.00816875
1.584e-04,0.00815313
1.588e-04,0.00806406
1.592e-04,0.00811562
1.596e-04,0.00806875
1.600e-04,0.00795781
1.604e-04,0.00806562
1.608e-04,0.00808281
1.612e-04,0.00802656
1.616e-04,0.00798438
1.620e-04,0.00811719
1.624e-04,0.00794531
1.628e-04,0.007925
1.632e-04,0.00795938
1.636e-04,0.00794844
1.640e-04,0.00800156
1.644e-04,0.00786094
1.648e-04,0.00792813
1.652e-04,0.00775156
1.656e-04,0.00790313
1.660e-04,0.00782188
1.664e-04,0.00782813
1.668e-04,0.00778906
1.672e-04,0.00774063
1.676e-04,0.00780469
1.680e-04,0.00760625
1.684e-04,0.00759844
1.688e-04,0.00769844
1.692e-04,0.00769219
1.696e-04,0.00771094
1.700e-04,0.00762813
1.704e-04,0.00753125
1.708e-04,0.00749844
1.712e-04,0.00761562
1.716e-04,0.00751875
1.720e-04,0.00739688
1.724e-04,0.00748906
1.728e-04,0.00756719
1.732e-04,0.00743125
1.736e-04,0.00739688
1.740e-04,0.00744688
1.744e-04,0.00729531
1.748e-04,0.00733125
1.752e-04,0.00726406
1.756e-04,0.00737813
1.760e-04,0.00726406
1.764e-04,0.00727656
1.768e-04,0.00733438
1.772e-04,0.00732656
1.776e-04,0.00724375
1.780e-04,0.0071625
1.784e-04,0.00743906
1.788e-04,0.0070625
1.792e-04,0.00718594
1.796e-04,0.00709688
1.800e-04,0.00714375
1.804e-04,0.00709688
1.808e-04,0.00708438
1.812e-04,0.00709063
1.816e-04,0.0072
1.820e-04,0.00708906
1.824e-04,0.00703125
1.828e-04,0.00697812
1.832e-04,0.00698906
1.836e-04,0.00705938
1.840e-04,0.00694063
1.844e-04,0.00683594
1.848e-04,0.00684688
1.852e-04,0.00700313
1.856e-04,0.00687813
1.860e-04,0.00695156
1.864e-04,0.00685469
1.868e-04,0.00683906
1.872e-04,0.00671563
1.876e-04,0.00682812
1.880e-04,0.00678594
1.884e-04,0.00675
1.888e-04,0.006775
1.892e-04,0.00676875
1.896e-04,0.00675
1.900e-04,0.00677031
1.904e-04,0.00678281
1.908e-04,0.00673906
1.912e-04,0.00677813
1.916e-04,0.00671563
1.920e-04,0.00672969
1.924e-04,0.00651719
1.928e-04,0.00659375
1.932e-04,0.00656563
1.936e-04,0.00651094
1.940e-04,0.00650625
1.944e-04,0.00673281
1.948e-04,0.00651406
1.952e-04,0.00657344
1.956e-04,0.00651563
1.960e-04,0.00638438
1.964e-04,0.00639688
1.968e-04,0.00630313
1.972e-04,0.00632656
1.976e-04,0.00633594
1.980e-04,0.00643281
1.984e-04,0.00629063
1.988e-04,0.0062875
1.992e-04,0.00641563
1.996e-04,0.00634375
2.000e-04,0.00630625
2.004e-04,0.0061875
2.008e-04,0.00617656
2.012e-04,0.00620156
2.016e-04,0.00622656
2.020e-04,0.00617969
2.024e-04,0.00619688
2.028e-04,0.00628125
2.032e-04,0.00602344
2.036e-04,0.00610156
2.040e-04,0.00617969
2.044e-04,0.00605
2.048e-04,0.00608438
2.052e-04,0.00615469
2.056e-04,0.00597969
2.060e-04,0.00600313
2.064e-04,0.00598438
2.068e-04,0.00600937
2.072e-04,0.00595156
2.076e-04,0.00603594
2.080e-04,0.00611563
2.084e-04,0.006
2.088e-04,0.00589375
2.092e-04,0.00594375
2.096e-04,0.00606719
2.100e-04,0.00589063
2.104e-04,0.00583125
2.108e-04,0.00582656
