Model,DPO4054
Firmware Version,2.68

Waveform Type,ANALOG,,
Point Format,Y,,
Horizontal Units,s,,
Horizontal Scale,4e-05,,
Horizontal Delay,0.0007572,,
Sample Interval,4e-07,,
Record Length,1000,,
Gating,0.0% to 100.0%,,
Probe Attenuation,1,,
Vertical Units,V,,
Vertical Offset,0,,
Vertical Scale,0.2,,
Vertical Position,0,,
,,,
,,,
,,,
Label,,,
TIME,CH2,CH3,CH4
5.572e-04,-0.00703125,0.0174531,-0.00459375
5.576e-04,-0.0075,0.0174453,-0.00490625
5.580e-04,-0.00753125,0.0174594,-0.00498438
5.584e-04,-0.00728125,0.0174031,-0.0045625
5.588e-04,-0.0076875,0.0172047,-0.0046875
5.592e-04,-0.00775,0.0172172,-0.00473437
5.596e-04,-0.00796875,0.0172359,-0.00470312
5.600e-04,-0.0079375,0.0170953,-0.00453125
5.604e-04,-0.007625,0.0171656,-0.004375
5.608e-04,-0.00796875,0.0172641,-0.00485937
5.612e-04,-0.00909375,0.0168922,-0.0045
5.616e-04,-0.007375,0.0169922,-0.00439063
5.620e-04,-0.00684375,0.0170641,-0.00410938
5.624e-04,-0.00678125,0.0168797,-0.00457812
5.628e-04,-0.00825,0.0168609,-0.00479687
5.632e-04,-0.00846875,0.0169562,-0.00453125
5.636e-04,-0.00859375,0.0167672,-0.00440625
5.640e-04,-0.00815625,0.0167281,-0.00445313
5.644e-04,-0.0095,0.0168328,-0.00517188
5.648e-04,-0.00734375,0.0166563,-0.00426563
5.652e-04,-0.00809375,0.0166641,-0.00414063
5.656e-04,-0.00803125,0.0165078,-0.0045625
5.660e-04,-0.00825,0.0165531,-0.00498438
5.664e-04,-0.00778125,0.0165938,-0.00459375
5.668e-04,-0.0088125,0.0164953,-0.00507813
5.672e-04,-0.00875,0.016475,-0.0046875
5.676e-04,-0.00734375,0.0165547,-0.00395313
5.680e-04,-0.0086875,0.0162562,-0.00504688
5.684e-04,-0.00846875,0.0163625,-0.00473437
5.688e-04,-0.00846875,0.0161516,-0.00465625
5.692e-04,-0.0089375,0.0164359,-0.00464062
5.696e-04,-0.00790625,0.0162203,-0.00482812
5.700e-04,-0.00821875,0.0161641,-0.00457812
5.704e-04,-0.0081875,0.0161719,-0.00451562
5.708e-04,-0.00803125,0.0161359,-0.00478125
5.712e-04,-0.0074375,0.0161484,-0.004875
5.716e-04,-0.00865625,0.0161,-0.00482812
5.720e-04,-0.00796875,0.01595,-0.00446875
5.724e-04,-0.00809375,0.01595,-0.00423438
5.728e-04,-0.0081875,0.0159406,-0.0045
5.732e-04,-0.0083125,0.0159391,-0.00432813
5.736e-04,-0.00821875,0.0157172,-0.00471875
5.740e-04,-0.00878125,0.0156937,-0.0046875
5.744e-04,-0.00871875,0.0159328,-0.0045625
5.748e-04,-0.0065,0.0158828,-0.00409375
5.752e-04,-0.00753125,0.0157219,-0.00495313
5.756e-04,-0.00884375,0.0156672,-0.00482812
5.760e-04,-0.00759375,0.0155641,-0.00467187
5.764e-04,-0.008625,0.0155359,-0.00448438
5.768e-04,-0.0090625,0.0156344,-0.00490625
5.772e-04,-0.009125,0.0157641,-0.0050625
5.776e-04,-0.00809375,0.015475,-0.00459375
