Model,DPO4054
Firmware Version,2.68

Waveform Type,ANALOG,,,Waveform Type,ANALOG
Point Format,Y,,,Point Format,Y
Horizontal Units,s,,,Horizontal Units,s
Horizontal Scale,0.0002,,,Horizontal Scale,0.0002
Horizontal Delay,0,,,Horizontal Delay,0
Sample Interval,2e-06,,,Sample Interval,2e-06
Record Length,1000,,,Record Length,1000
Gating,0.0% to 100.0%,,,Gating,0.0% to 100.0%
Probe Attenuation,1,,,Probe Attenuation,1
Vertical Units,V,,,Vertical Units,V/s
Vertical Offset,0,,,Vertical Offset,0
Vertical Scale,0.01,,,Vertical Scale,100
Vertical Position,0,,,Vertical Position,0
,,,,,
,,,,,
,,,,,
Label,,,,Label,
TIME,CH2,CH3,,TIME,"MATH<DIFF(CH3)-DIFF(CH2)>"
-1.00e-03,0.0244906,0.0172781,,-1.00e-03,inf
-9.98e-04,0.0238781,0.0171875,,-9.98e-04,260.938
-9.96e-04,0.0234359,0.0170906,,-9.96e-04,172.641
-9.94e-04,0.0230953,0.0172516,,-9.94e-04,250.781
-9.92e-04,0.0227234,0.0171484,,-9.92e-04,134.359
-9.90e-04,0.0223547,0.0171719,,-9.90e-04,196.094
-9.88e-04,0.0219766,0.0168359,,-9.88e-04,21.0781
-9.86e-04,0.021625,0.0171563,,-9.86e-04,335.922
-9.84e-04,0.0213141,0.0169344,,-9.84e-04,44.5156
-9.82e-04,0.0210297,0.017175,,-9.82e-04,262.5
-9.80e-04,0.0206563,0.0170281,,-9.80e-04,113.281
-9.78e-04,0.0203547,0.0170375,,-9.78e-04,155.453
-9.76e-04,0.0200578,0.0170016,,-9.76e-04,130.469
-9.74e-04,0.0197375,0.0169859,,-9.74e-04,152.344
-9.72e-04,0.0194359,0.017075,,-9.72e-04,195.297
-9.70e-04,0.0191469,0.0172031,,-9.70e-04,208.594
-9.68e-04,0.0188844,0.0169734,,-9.68e-04,16.3906
-9.66e-04,0.0186078,0.0168859,,-9.66e-04,94.5312
-9.64e-04,0.0183641,0.0168609,,-9.64e-04,109.375
-9.62e-04,0.0181328,0.0168562,,-9.62e-04,113.266
-9.60e-04,0.0180063,0.0170875,,-9.60e-04,178.906
-9.58e-04,0.0180016,0.0169578,,-9.58e-04,-62.5
-9.56e-04,0.0178937,0.0169891,,-9.56e-04,69.5312
-9.54e-04,0.0177484,0.0169078,,-9.54e-04,32.0156
-9.52e-04,0.0176109,0.01695,,-9.52e-04,89.8281
-9.50e-04,0.0173797,0.0167828,,-9.50e-04,32.0312
-9.48e-04,0.0172578,0.0168531,,-9.48e-04,96.0781
-9.46e-04,0.0171234,0.0166484,,-9.46e-04,-35.1562
-9.44e-04,0.0169531,0.0167016,,-9.44e-04,111.719
-9.42e-04,0.0167531,0.0167953,,-9.42e-04,146.875
-9.40e-04,0.016625,0.0168625,,-9.40e-04,97.6406
-9.38e-04,0.0164672,0.0166,,-9.38e-04,-52.3281
-9.36e-04,0.0163578,0.0168109,,-9.36e-04,160.156
-9.34e-04,0.0162234,0.0167422,,-9.34e-04,32.7969
-9.32e-04,0.0160531,0.0165922,,-9.32e-04,10.1406
