Model,DPO4054
Firmware Version,2.68

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,0.4
Horizontal Delay,0
Sample Interval,0.004
Record Length,1000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,1
Vertical Position,-3.48
,
,
,
Label,
TIME,CH1
-2.000e+00,1.23453
-1.996e+00,1.23422
-1.992e+00,1.23469
-1.988e+00,1.23453
-1.984e+00,1.23469
-1.980e+00,1.23547
-1.976e+00,1.23547
-1.972e+00,1.23547
-1.968e+00,1.23531
-1.964e+00,1.23469
-1.960e+00,1.23453
-1.956e+00,1.235
-1.952e+00,1.23453
-1.948e+00,1.23422
-1.944e+00,1.23422
-1.940e+00,1.23547
-1.936e+00,1.23547
-1.932e+00,1.235
-1.928e+00,1.23625
-1.924e+00,1.23609
-1.920e+00,1.23609
-1.916e+00,1.23578
-1.912e+00,1.23547
-1.908e+00,1.23609
-1.904e+00,1.23625
-1.900e+00,1.23578
-1.896e+00,1.23578
-1.892e+00,1.23453
-1.888e+00,1.23578
-1.884e+00,1.23609
-1.880e+00,1.23609
-1.876e+00,1.23609
-1.872e+00,1.23656
-1.868e+00,1.23578
-1.864e+00,1.23625
-1.860e+00,1.23547
-1.856e+00,1.23656
-1.852e+00,1.23625
-1.848e+00,1.23656
-1.844e+00,1.23625
-1.840e+00,1.23734
-1.836e+00,1.23609
-1.832e+00,1.23531
-1.828e+00,1.23609
-1.824e+00,1.23609
-1.820e+00,1.23625
-1.816e+00,1.23547
-1.812e+00,1.23547
-1.808e+00,1.23547
-1.804e+00,1.23531
-1.800e+00,1.23531
-1.796e+00,1.23531
-1.792e+00,1.23609
-1.788e+00,1.23531
-1.784e+00,1.23469
-1.780e+00,1.235
-1.776e+00,1.235
-1.772e+00,1.23547
-1.768e+00,1.23531
-1.764e+00,1.23531
-1.760e+00,1.235
-1.756e+00,1.23547
-1.752e+00,1.235
-1.748e+00,1.23531
-1.744e+00,1.23453
-1.740e+00,1.23375
-1.736e+00,1.23375
-1.732e+00,1.23391
-1.728e+00,1.23531
-1.724e+00,1.23469
-1.720e+00,1.23453
-1.716e+00,1.23422
-1.712e+00,1.23469
-1.708e+00,1.235
-1.704e+00,1.23469
-1.700e+00,1.23469
-1.696e+00,1.23469
-1.692e+00,1.23391
-1.688e+00,1.235
-1.684e+00,1.23469
-1.680e+00,1.23422
-1.676e+00,1.23453
-1.672e+00,1.23453
-1.668e+00,1.23422
-1.664e+00,1.235
-1.660e+00,1.23469
-1.656e+00,1.23422
-1.652e+00,1.23344
-1.648e+00,1.23297
-1.644e+00,1.23375
-1.640e+00,1.23422
-1.636e+00,1.23391
-1.632e+00,1.23453
-1.628e+00,1.23422
-1.624e+00,1.23422
-1.620e+00,1.23469
-1.616e+00,1.23391
-1.612e+00,1.23375
-1.608e+00,1.23422
-1.604e+00,1.23391
-1.600e+00,1.23391
-1.596e+00,1.23375
-1.592e+00,1.23375
-1.588e+00,1.23391
-1.584e+00,1.23453
-1.580e+00,1.23422
-1.576e+00,1.23422
-1.572e+00,1.23453
-1.568e+00,1.23391
-1.564e+00,1.23391
-1.560e+00,1.23391
-1.556e+00,1.23453
-1.552e+00,1.23391
-1.548e+00,1.23422
-1.544e+00,1.23469
-1.540e+00,1.23469
-1.536e+00,1.23453
-1.532e+00,1.23547
-1.528e+00,1.23469
-1.524e+00,1.23469
-1.520e+00,1.23391
-1.516e+00,1.23453
-1.512e+00,1.23469
-1.508e+00,1.23531
-1.504e+00,1.23578
-1.500e+00,1.23531
-1.496e+00,1.23547
-1.492e+00,1.23547
-1.488e+00,1.235
-1.484e+00,1.23453
-1.480e+00,1.23469
-1.476e+00,1.23531
-1.472e+00,1.235
-1.468e+00,1.23422
-1.464e+00,1.23344
-1.460e+00,1.23469
-1.456e+00,1.23453
-1.452e+00,1.23391
-1.448e+00,1.23344
-1.444e+00,1.23375
-1.440e+00,1.235
-1.436e+00,1.23422
-1.432e+00,1.23422
-1.428e+00,1.23422
-1.424e+00,1.23453
-1.420e+00,1.23422
-1.416e+00,1.23391
-1.412e+00,1.23422
-1.408e+00,1.23391
-1.404e+00,1.23375
-1.400e+00,1.23375
-1.396e+00,1.23469
-1.392e+00,1.23453
-1.388e+00,1.23391
-1.384e+00,1.23375
-1.380e+00,1.23375
-1.376e+00,1.23422
-1.372e+00,1.23391
-1.368e+00,1.23391
-1.364e+00,1.23375
-1.360e+00,1.23375
-1.356e+00,1.23391
-1.352e+00,1.23422
-1.348e+00,1.23391
-1.344e+00,1.23422
-1.340e+00,1.23391
-1.336e+00,1.23453
-1.332e+00,1.23422
-1.328e+00,1.23453
-1.324e+00,1.23391
-1.320e+00,1.23453
-1.316e+00,1.23453
-1.312e+00,1.23469
-1.308e+00,1.23469
-1.304e+00,1.235
-1.300e+00,1.23453
-1.296e+00,1.23531
-1.292e+00,1.23453
-1.288e+00,1.235
-1.284e+00,1.23453
-1.280e+00,1.23453
-1.276e+00,1.23531
-1.272e+00,1.23469
-1.268e+00,1.23391
-1.264e+00,1.23422
-1.260e+00,1.235
-1.256e+00,1.23422
-1.252e+00,1.23469
-1.248e+00,1.23453
-1.244e+00,1.23422
-1.240e+00,1.235
-1.236e+00,1.23469
-1.232e+00,1.23469
-1.228e+00,1.23422
-1.224e+00,1.23422
-1.220e+00,1.23453
-1.216e+00,1.23453
-1.212e+00,1.23422
-1.208e+00,1.23453
-1.204e+00,1.23469
-1.200e+00,1.23391
-1.196e+00,1.23422
-1.192e+00,1.23422
-1.188e+00,1.23422
-1.184e+00,1.23453
-1.180e+00,1.23453
-1.176e+00,1.23469
-1.172e+00,1.23531
-1.168e+00,1.235
-1.164e+00,1.23453
-1.160e+00,1.235
-1.156e+00,1.23469
-1.152e+00,1.23453
-1.148e+00,1.23469
-1.144e+00,1.23531
-1.140e+00,1.23547
-1.136e+00,1.235
-1.132e+00,1.23391
-1.128e+00,1.235
-1.124e+00,1.23469
-1.120e+00,1.23453
-1.116e+00,1.23531
-1.112e+00,1.23656
-1.108e+00,1.23547
-1.104e+00,1.23469
-1.100e+00,1.23422
-1.096e+00,1.23391
-1.092e+00,1.23469
-1.088e+00,1.23469
-1.084e+00,1.235
-1.080e+00,1.23547
-1.076e+00,1.235
-1.072e+00,1.23547
-1.068e+00,1.235
-1.064e+00,1.23422
-1.060e+00,1.235
-1.056e+00,1.23469
-1.052e+00,1.23469
-1.048e+00,1.23453
-1.044e+00,1.23531
-1.040e+00,1.23422
-1.036e+00,1.23469
-1.032e+00,1.23453
-1.028e+00,1.23531
-1.024e+00,1.235
-1.020e+00,1.23469
-1.016e+00,1.235
-1.012e+00,1.23469
-1.008e+00,1.23469
-1.004e+00,1.23469
-1.000e-00,1.23422
-9.960e-01,1.23391
-9.920e-01,1.23422
-9.880e-01,1.23344
-9.840e-01,1.23344
-9.800e-01,1.23391
-9.760e-01,1.23469
-9.720e-01,1.23469
-9.680e-01,1.235
-9.640e-01,1.23469
-9.600e-01,1.23422
-9.560e-01,1.23422
-9.520e-01,1.23312
-9.480e-01,1.23469
-9.440e-01,1.23547
-9.400e-01,1.23609
-9.360e-01,1.23531
-9.320e-01,1.23531
-9.280e-01,1.235
-9.240e-01,1.23531
-9.200e-01,1.23531
-9.160e-01,1.23531
-9.120e-01,1.23469
-9.080e-01,1.23531
-9.040e-01,1.23422
-9.000e-01,1.23422
-8.960e-01,1.23422
-8.920e-01,1.23531
-8.880e-01,1.23453
-8.840e-01,1.23469
-8.800e-01,1.23469
-8.760e-01,1.23547
-8.720e-01,1.23609
-8.680e-01,1.235
-8.640e-01,1.23531
-8.600e-01,1.23547
-8.560e-01,1.23578
-8.520e-01,1.23531
-8.480e-01,1.23531
-8.440e-01,1.23609
-8.400e-01,1.23609
-8.360e-01,1.23609
-8.320e-01,1.235
-8.280e-01,1.23578
-8.240e-01,1.23578
-8.200e-01,1.23547
-8.160e-01,1.23531
-8.120e-01,1.23578
-8.080e-01,1.23625
-8.040e-01,1.23547
-8.000e-01,1.23547
-7.960e-01,1.235
-7.920e-01,1.23531
-7.880e-01,1.23578
-7.840e-01,1.23687
-7.800e-01,1.23703
-7.760e-01,1.23687
-7.720e-01,1.23687
-7.680e-01,1.23531
-7.640e-01,1.23531
-7.600e-01,1.23531
-7.560e-01,1.23625
-7.520e-01,1.23625
-7.480e-01,1.23687
-7.440e-01,1.23766
-7.400e-01,1.23703
-7.360e-01,1.23687
-7.320e-01,1.23687
-7.280e-01,1.23656
-7.240e-01,1.23625
-7.200e-01,1.23609
-7.160e-01,1.23625
-7.120e-01,1.23656
-7.080e-01,1.23687
-7.040e-01,1.23625
-7.000e-01,1.23547
-6.960e-01,1.23656
-6.920e-01,1.23609
-6.880e-01,1.23625
-6.840e-01,1.23547
-6.800e-01,1.23625
-6.760e-01,1.23531
-6.720e-01,1.23578
-6.680e-01,1.23609
-6.640e-01,1.23531
-6.600e-01,1.23609
-6.560e-01,1.23656
-6.520e-01,1.23609
-6.480e-01,1.23656
-6.440e-01,1.23578
-6.400e-01,1.23609
-6.360e-01,1.23656
-6.320e-01,1.23531
-6.280e-01,1.235
-6.240e-01,1.23578
-6.200e-01,1.23547
-6.160e-01,1.23453
-6.120e-01,1.23531
-6.080e-01,1.235
-6.040e-01,1.23469
-6.000e-01,1.23469
-5.960e-01,1.23531
-5.920e-01,1.23625
-5.880e-01,1.23531
-5.840e-01,1.235
-5.800e-01,1.23578
-5.760e-01,1.23531
-5.720e-01,1.235
-5.680e-01,1.23547
-5.640e-01,1.23578
-5.600e-01,1.23609
-5.560e-01,1.23547
-5.520e-01,1.23531
-5.480e-01,1.23547
-5.440e-01,1.23625
-5.400e-01,1.23625
-5.360e-01,1.23531
-5.320e-01,1.235
-5.280e-01,1.23547
-5.240e-01,1.23547
-5.200e-01,1.235
-5.160e-01,1.23422
-5.120e-01,1.23578
-5.080e-01,1.23625
-5.040e-01,1.23578
-5.000e-01,1.23547
-4.960e-01,1.23578
-4.920e-01,1.23609
-4.880e-01,1.23609
-4.840e-01,1.23625
-4.800e-01,1.23609
-4.760e-01,1.23547
-4.720e-01,1.23578
-4.680e-01,1.23625
-4.640e-01,1.23578
-4.600e-01,1.23687
-4.560e-01,1.23656
-4.520e-01,1.23609
-4.480e-01,1.23531
-4.440e-01,1.23547
-4.400e-01,1.23578
-4.360e-01,1.23609
-4.320e-01,1.23578
-4.280e-01,1.23625
-4.240e-01,1.23578
-4.200e-01,1.235
-4.160e-01,1.23453
-4.120e-01,1.23531
-4.080e-01,1.23625
-4.040e-01,1.23578
-4.000e-01,1.23531
-3.960e-01,1.23578
-3.920e-01,1.23656
-3.880e-01,1.23625
-3.840e-01,1.23687
-3.800e-01,1.23656
-3.760e-01,1.23656
-3.720e-01,1.23531
-3.680e-01,1.23453
-3.640e-01,1.23422
-3.600e-01,1.23469
-3.560e-01,1.23469
-3.520e-01,1.23469
-3.480e-01,1.23469
-3.440e-01,1.235
-3.400e-01,1.235
-3.360e-01,1.23391
-3.320e-01,1.23375
-3.280e-01,1.23453
-3.240e-01,1.235
-3.200e-01,1.23578
-3.160e-01,1.23531
-3.120e-01,1.23547
-3.080e-01,1.23578
-3.040e-01,1.23578
-3.000e-01,1.23625
-2.960e-01,1.23578
-2.920e-01,1.23578
-2.880e-01,1.23609
-2.840e-01,1.23609
-2.800e-01,1.23578
-2.760e-01,1.23547
-2.720e-01,1.23609
-2.680e-01,1.23609
-2.640e-01,1.23578
-2.600e-01,1.23547
-2.560e-01,1.23609
-2.520e-01,1.23547
-2.480e-01,1.23547
-2.440e-01,1.23609
-2.400e-01,1.23609
-2.360e-01,1.23625
-2.320e-01,1.23547
-2.280e-01,1.23531
-2.240e-01,1.23625
-2.200e-01,1.23609
-2.160e-01,1.23578
-2.120e-01,1.23625
