Model,DPO4054
Firmware Version,2.68

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,4e-05
Horizontal Delay,0.0007516
Sample Interval,4e-07
Record Length,1000
Gating,0.0% to 100.0%
Probe Attenuation,10
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.02
Vertical Position,0
,
,
,
Label,
TIME,CH3
5.516e-04,0.0636031
5.520e-04,0.0632781
5.524e-04,0.0634125
5.528e-04,0.0634406
5.532e-04,0.0632438
5.536e-04,0.0631656
5.540e-04,0.0632063
5.544e-04,0.0631469
5.548e-04,0.0631281
5.552e-04,0.0629469
5.556e-04,0.0629313
5.560e-04,0.0629438
5.564e-04,0.0629125
5.568e-04,0.0627844
5.572e-04,0.0626094
5.576e-04,0.0628094
5.580e-04,0.0629219
5.584e-04,0.0628844
5.588e-04,0.0628
5.592e-04,0.0625312
5.596e-04,0.0625438
5.600e-04,0.0627188
5.604e-04,0.0624063
5.608e-04,0.0624875
5.612e-04,0.0622594
5.616e-04,0.0623531
5.620e-04,0.0624313
5.624e-04,0.0625219
5.628e-04,0.0623125
5.632e-04,0.0623813
5.636e-04,0.062425
5.640e-04,0.0623063
5.644e-04,0.061975
5.648e-04,0.0620594
5.652e-04,0.061975
5.656e-04,0.0621875
5.660e-04,0.0619844
5.664e-04,0.0617313
5.668e-04,0.0618125
5.672e-04,0.0617594
5.676e-04,0.0620719
5.680e-04,0.0618125
5.684e-04,0.0616344
5.688e-04,0.0616719
5.692e-04,0.0615188
5.696e-04,0.0617469
5.700e-04,0.0615531
5.704e-04,0.0615938
5.708e-04,0.061575
5.712e-04,0.0612844
5.716e-04,0.0612344
5.720e-04,0.0614188
5.724e-04,0.0616094
5.728e-04,0.0613719
5.732e-04,0.0610594
5.736e-04,0.0611719
5.740e-04,0.06125
5.744e-04,0.0609781
5.748e-04,0.0611094
5.752e-04,0.0612469
5.756e-04,0.0611063
5.760e-04,0.0608469
5.764e-04,0.0610813
5.768e-04,0.0609469
5.772e-04,0.0608469
5.776e-04,0.0608844
5.780e-04,0.0608063
5.784e-04,0.0610156
5.788e-04,0.060775
5.792e-04,0.0606438
5.796e-04,0.0607781
5.800e-04,0.0604656
5.804e-04,0.0603656
5.808e-04,0.0607156
5.812e-04,0.06035
5.816e-04,0.0604313
5.820e-04,0.0604594
5.824e-04,0.06055
5.828e-04,0.0601688
5.832e-04,0.060175
5.836e-04,0.0601375
5.840e-04,0.0600281
5.844e-04,0.0600188
5.848e-04,0.0602781
5.852e-04,0.0600437
5.856e-04,0.0602938
5.860e-04,0.0598844
5.864e-04,0.0599406
5.868e-04,0.0599438
5.872e-04,0.0597063
5.876e-04,0.06
5.880e-04,0.0599031
5.884e-04,0.0597094
5.888e-04,0.0601062
5.892e-04,0.0597656
5.896e-04,0.0595406
5.900e-04,0.0594688
5.904e-04,0.05965
5.908e-04,0.0595656
5.912e-04,0.05965
5.916e-04,0.0596656
5.920e-04,0.0596219
5.924e-04,0.0593469
5.928e-04,0.0593563
5.932e-04,0.059325
5.936e-04,0.0592625
5.940e-04,0.0591031
5.944e-04,0.0591625
5.948e-04,0.0589719
5.952e-04,0.059075
5.956e-04,0.0591156
5.960e-04,0.0592656
5.964e-04,0.0588219
5.968e-04,0.0590906
5.972e-04,0.0586375
5.976e-04,0.0589469
5.980e-04,0.0589125
5.984e-04,0.0590219
5.988e-04,0.0587844
5.992e-04,0.0588188
5.996e-04,0.0588844
6.000e-04,0.0586031
6.004e-04,0.058825
6.008e-04,0.0586063
6.012e-04,0.058325
6.016e-04,0.0586344
6.020e-04,0.0586281
6.024e-04,0.0586094
6.028e-04,0.0587063
6.032e-04,0.0585375
6.036e-04,0.0583594
6.040e-04,0.05845
6.044e-04,0.0583375
6.048e-04,0.0583906
6.052e-04,0.0580781
6.056e-04,0.0584938
6.060e-04,0.0583063
6.064e-04,0.0582375
6.068e-04,0.0581063
6.072e-04,0.0581719
6.076e-04,0.0583656
6.080e-04,0.0577594
6.084e-04,0.0577344
6.088e-04,0.05805
6.092e-04,0.05785
6.096e-04,0.0580438
6.100e-04,0.0577719
6.104e-04,0.0577625
6.108e-04,0.0578969
6.112e-04,0.0576531
6.116e-04,0.0579344
6.120e-04,0.0577188
6.124e-04,0.057525
6.128e-04,0.0575156
6.132e-04,0.0576688
6.136e-04,0.0575281
6.140e-04,0.0576156
6.144e-04,0.0572844
6.148e-04,0.0572031
6.152e-04,0.0574969
6.156e-04,0.0572031
6.160e-04,0.0574875
6.164e-04,0.0572281
6.168e-04,0.0574563
6.172e-04,0.0571625
6.176e-04,0.0571781
6.180e-04,0.0570969
6.184e-04,0.057175
6.188e-04,0.0573031
6.192e-04,0.0569219
6.196e-04,0.0568906
6.200e-04,0.057075
6.204e-04,0.0571125
6.208e-04,0.0568688
6.212e-04,0.0568406
6.216e-04,0.0569406
6.220e-04,0.05675
6.224e-04,0.0567062
6.228e-04,0.0567813
6.232e-04,0.0566813
6.236e-04,0.0565844
6.240e-04,0.0566781
6.244e-04,0.0565375
6.248e-04,0.0566375
6.252e-04,0.0563813
6.256e-04,0.0566406
6.260e-04,0.0564844
6.264e-04,0.0564125
6.268e-04,0.0563094
6.272e-04,0.0565469
6.276e-04,0.0562938
6.280e-04,0.0563281
6.284e-04,0.05635
6.288e-04,0.0563906
6.292e-04,0.0560906
6.296e-04,0.0560938
6.300e-04,0.0561813
6.304e-04,0.0561563
6.308e-04,0.0561
6.312e-04,0.0557875
6.316e-04,0.0561938
6.320e-04,0.0561719
6.324e-04,0.0558906
6.328e-04,0.0559875
6.332e-04,0.0558156
6.336e-04,0.0559844
6.340e-04,0.0558563
6.344e-04,0.05585
6.348e-04,0.0558656
6.352e-04,0.0557563
6.356e-04,0.0557438
6.360e-04,0.0556625
6.364e-04,0.0556563
6.368e-04,0.0555344
6.372e-04,0.0554437
6.376e-04,0.0555625
6.380e-04,0.0551937
6.384e-04,0.0554688
6.388e-04,0.055625
6.392e-04,0.0553187
6.396e-04,0.0552594
6.400e-04,0.0551406
6.404e-04,0.0552906
6.408e-04,0.0552969
6.412e-04,0.0553531
6.416e-04,0.0551063
6.420e-04,0.0553344
6.424e-04,0.0551563
6.428e-04,0.0549656
6.432e-04,0.0550938
6.436e-04,0.0551594
6.440e-04,0.0551656
6.444e-04,0.0549906
6.448e-04,0.0549156
6.452e-04,0.0548
6.456e-04,0.0547188
6.460e-04,0.0550062
6.464e-04,0.0545625
6.468e-04,0.0547875
6.472e-04,0.0547125
6.476e-04,0.0548187
6.480e-04,0.0546406
6.484e-04,0.0548469
6.488e-04,0.0547063
6.492e-04,0.0545406
6.496e-04,0.0548156
6.500e-04,0.0545031
6.504e-04,0.0544125
6.508e-04,0.054525
6.512e-04,0.054275
6.516e-04,0.0544906
6.520e-04,0.0542938
6.524e-04,0.0543469
6.528e-04,0.0540906
6.532e-04,0.0544188
6.536e-04,0.0545344
6.540e-04,0.0543031
6.544e-04,0.0541813
6.548e-04,0.0542063
6.552e-04,0.0541188
6.556e-04,0.0540406
6.560e-04,0.0541625
6.564e-04,0.0540594
6.568e-04,0.0541156
6.572e-04,0.0539938
6.576e-04,0.0540125
6.580e-04,0.0538531
6.584e-04,0.0539375
6.588e-04,0.0539438
6.592e-04,0.0537875
6.596e-04,0.0537344
6.600e-04,0.0536656
6.604e-04,0.0538531
6.608e-04,0.0537938
6.612e-04,0.0536812
6.616e-04,0.0534937
6.620e-04,0.053525
6.624e-04,0.0538219
6.628e-04,0.0537719
6.632e-04,0.053475
6.636e-04,0.053575
6.640e-04,0.0534219
6.644e-04,0.0532875
6.648e-04,0.0531875
6.652e-04,0.0533531
6.656e-04,0.0534
6.660e-04,0.0534937
6.664e-04,0.0534125
6.668e-04,0.0531281
6.672e-04,0.0531656
6.676e-04,0.0531219
6.680e-04,0.0531563
6.684e-04,0.0532188
6.688e-04,0.0530094
6.692e-04,0.052875
6.696e-04,0.0530906
6.700e-04,0.0531844
6.704e-04,0.0529281
6.708e-04,0.0529469
6.712e-04,0.0526969
6.716e-04,0.0530156
6.720e-04,0.0529094
6.724e-04,0.0528875
6.728e-04,0.0529375
6.732e-04,0.0529937
6.736e-04,0.0529469
6.740e-04,0.0526563
6.744e-04,0.0526406
6.748e-04,0.0527406
6.752e-04,0.0527781
6.756e-04,0.0526438
6.760e-04,0.0526469
6.764e-04,0.0525781
6.768e-04,0.0525531
6.772e-04,0.0525563
6.776e-04,0.05235
6.780e-04,0.0523813
6.784e-04,0.0526531
6.788e-04,0.0525469
6.792e-04,0.0524594
6.796e-04,0.0525031
6.800e-04,0.0523156
6.804e-04,0.0521375
6.808e-04,0.0523969
6.812e-04,0.0522312
6.816e-04,0.0522312
6.820e-04,0.0521531
6.824e-04,0.0521781
6.828e-04,0.0521094
6.832e-04,0.051925
6.836e-04,0.0519531
6.840e-04,0.05195
6.844e-04,0.05225
6.848e-04,0.0519313
6.852e-04,0.0518469
6.856e-04,0.0518781
6.860e-04,0.0519563
6.864e-04,0.0518063
6.868e-04,0.051875
6.872e-04,0.0517719
6.876e-04,0.0518469
6.880e-04,0.0516938
6.884e-04,0.0518188
6.888e-04,0.0515594
6.892e-04,0.0516375
6.896e-04,0.0518281
6.900e-04,0.0515688
6.904e-04,0.0515781
6.908e-04,0.0516031
6.912e-04,0.0514875
6.916e-04,0.05145
6.920e-04,0.0515406
6.924e-04,0.0515
6.928e-04,0.0513438
6.932e-04,0.0515063
6.936e-04,0.0514781
6.940e-04,0.0512438
6.944e-04,0.0513438
6.948e-04,0.0514656
6.952e-04,0.0512312
6.956e-04,0.051325
6.960e-04,0.051125
6.964e-04,0.0512219
6.968e-04,0.0512031
6.972e-04,0.0513719
6.976e-04,0.0512125
6.980e-04,0.0510844
6.984e-04,0.0512688
6.988e-04,0.0511094
6.992e-04,0.0508719
6.996e-04,0.0510219
7.000e-04,0.0509406
7.004e-04,0.0508969
7.008e-04,0.0512219
7.012e-04,0.0509531
7.016e-04,0.050925
7.020e-04,0.0508688
7.024e-04,0.0508188
7.028e-04,0.051
7.032e-04,0.050875
7.036e-04,0.0509
7.040e-04,0.0507094
7.044e-04,0.0507156
7.048e-04,0.0507875
7.052e-04,0.0507187
7.056e-04,0.0508281
7.060e-04,0.0506344
7.064e-04,0.0505688
7.068e-04,0.050575
7.072e-04,0.0504156
7.076e-04,0.0503719
7.080e-04,0.0505937
7.084e-04,0.0504094
7.088e-04,0.050325
7.092e-04,0.0503531
7.096e-04,0.0504344
7.100e-04,0.0506094
7.104e-04,0.0503844
7.108e-04,0.0501281
7.112e-04,0.0501688
7.116e-04,0.0502812
7.120e-04,0.0500438
7.124e-04,0.0501031
7.128e-04,0.0501063
7.132e-04,0.049925
7.136e-04,0.0501031
7.140e-04,0.0502563
7.144e-04,0.0499969
7.148e-04,0.0499344
7.152e-04,0.0500375
7.156e-04,0.0499031
7.160e-04,0.0497031
7.164e-04,0.0500656
7.168e-04,0.0498938
7.172e-04,0.0496656
7.176e-04,0.0499906
7.180e-04,0.0496969
7.184e-04,0.0496719
7.188e-04,0.0495906
7.192e-04,0.0498281
7.196e-04,0.049875
7.200e-04,0.0497969
7.204e-04,0.0497625
7.208e-04,0.0495281
7.212e-04,0.0494875
7.216e-04,0.0496156
7.220e-04,0.0494563
7.224e-04,0.0494719
7.228e-04,0.0496125
7.232e-04,0.04935
7.236e-04,0.0496656
7.240e-04,0.0495781
7.244e-04,0.04935
7.248e-04,0.0496719
7.252e-04,0.0493156
7.256e-04,0.0494969
7.260e-04,0.0493625
7.264e-04,0.0491813
7.268e-04,0.0492469
7.272e-04,0.0491094
7.276e-04,0.0491531
7.280e-04,0.04925
7.284e-04,0.0492625
7.288e-04,0.048975
7.292e-04,0.0490375
7.296e-04,0.0490625
7.300e-04,0.0491656
7.304e-04,0.0492094
7.308e-04,0.0490563
