Model,DPO4054
Firmware Version,2.68

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,4e-05,
Horizontal Delay,0.0007592,
Sample Interval,4e-07,
Record Length,1000,
Gating,0.0% to 100.0%,
Probe Attenuation,1,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,0.2,
Vertical Position,0,
,,
,,
,,
Label,,
TIME,CH2,CH3
5.592e-04,-0.00759375,0.0179391
5.596e-04,-0.0075,0.0177375
5.600e-04,-0.0080625,0.0177969
5.604e-04,-0.00778125,0.0178234
5.608e-04,-0.008,0.0177469
5.612e-04,-0.00821875,0.0175406
5.616e-04,-0.0078125,0.0176391
5.620e-04,-0.00809375,0.0175766
5.624e-04,-0.0083125,0.0175
5.628e-04,-0.00846875,0.0174234
5.632e-04,-0.009,0.0174172
5.636e-04,-0.00853125,0.0174422
5.640e-04,-0.0066875,0.0173703
5.644e-04,-0.0080625,0.0173859
5.648e-04,-0.0079375,0.0172156
5.652e-04,-0.00790625,0.0173297
5.656e-04,-0.00834375,0.0172922
5.660e-04,-0.00871875,0.0170906
5.664e-04,-0.0089375,0.0170453
5.668e-04,-0.00828125,0.0170797
5.672e-04,-0.00725,0.017125
5.676e-04,-0.008,0.0169484
5.680e-04,-0.008,0.0170063
5.684e-04,-0.00815625,0.0169484
5.688e-04,-0.00815625,0.0169094
5.692e-04,-0.0084375,0.0168531
5.696e-04,-0.007125,0.0167
5.700e-04,-0.00865625,0.0167016
5.704e-04,-0.00878125,0.0168219
5.708e-04,-0.00840625,0.0165797
5.712e-04,-0.0078125,0.0167031
5.716e-04,-0.00790625,0.0165859
5.720e-04,-0.00815625,0.0165047
5.724e-04,-0.008,0.0166016
5.728e-04,-0.0079375,0.0164422
5.732e-04,-0.00815625,0.0164484
5.736e-04,-0.00875,0.0162969
5.740e-04,-0.00853125,0.0163734
5.744e-04,-0.00796875,0.0164094
5.748e-04,-0.00825,0.0163047
5.752e-04,-0.0084375,0.0163547
5.756e-04,-0.00853125,0.016175
5.760e-04,-0.00853125,0.0161969
5.764e-04,-0.00853125,0.0162016
5.768e-04,-0.00753125,0.0159797
5.772e-04,-0.007875,0.0161844
5.776e-04,-0.00909375,0.0159578
5.780e-04,-0.0086875,0.0160563
5.784e-04,-0.0088125,0.0160391
5.788e-04,-0.00921875,0.0159141
5.792e-04,-0.0089375,0.0160078
5.796e-04,-0.00846875,0.0159891
5.800e-04,-0.0076875,0.0159031
5.804e-04,-0.00753125,0.0160469
5.808e-04,-0.0081875,0.0157562
5.812e-04,-0.0085625,0.0157797
5.816e-04,-0.00846875,0.0156312
5.820e-04,-0.00771875,0.0156813
5.824e-04,-0.0074375,0.0156891
5.828e-04,-0.00884375,0.0154922
5.832e-04,-0.00921875,0.0154641
5.836e-04,-0.00859375,0.0154875
5.840e-04,-0.008125,0.0155516
5.844e-04,-0.00803125,0.0155766
5.848e-04,-0.0084375,0.0153859
5.852e-04,-0.00815625,0.0152563
5.856e-04,-0.0080625,0.0154219
5.860e-04,-0.00790625,0.0153922
5.864e-04,-0.007875,0.0151875
5.868e-04,-0.00853125,0.0152312
5.872e-04,-0.00796875,0.0152844
