Model,DPO4054
Firmware Version,2.68

Waveform Type,ANALOG,,,,Waveform Type,ANALOG
Point Format,Y,,,,Point Format,Y
Horizontal Units,s,,,,Horizontal Units,s
Horizontal Scale,0.0002,,,,Horizontal Scale,0.0002
Horizontal Delay,0,,,,Horizontal Delay,0
Sample Interval,2e-06,,,,Sample Interval,2e-06
Record Length,1000,,,,Record Length,1000
Gating,0.0% to 100.0%,,,,Gating,0.0% to 100.0%
Probe Attenuation,1,,,,Probe Attenuation,1
Vertical Units,V,,,,Vertical Units,V/s
Vertical Offset,0,,,,Vertical Offset,0
Vertical Scale,0.01,,,,Vertical Scale,50
Vertical Position,0,,,,Vertical Position,0
,,,,,,
,,,,,,
,,,,,,
Label,,,,,Label,
TIME,CH2,CH3,CH4,,TIME,"MATH<DIFF(CH3)-DIFF(CH2)>"
-1.00e-03,0.0264438,0.0166328,-0.000446875,,-1.00e-03,170.312
-9.98e-04,0.0248547,0.0164734,-0.000454688,,-9.98e-04,inf
-9.96e-04,0.0243875,0.0165422,-0.000457813,,-9.96e-04,inf
-9.94e-04,0.0239719,0.0164906,-0.000410938,,-9.94e-04,182.031
-9.92e-04,0.0235984,0.01645,-0.000421875,,-9.92e-04,166.406
-9.90e-04,0.0232328,0.0164688,-0.000417188,,-9.90e-04,192.18
-9.88e-04,0.022875,0.0164172,-0.000414063,,-9.88e-04,153.125
-9.86e-04,0.0225234,0.0163672,-0.000434375,,-9.86e-04,150.781
-9.84e-04,0.0221812,0.0164281,-0.000454688,,-9.84e-04,201.555
-9.82e-04,0.0218516,0.0164656,-0.000459375,,-9.82e-04,183.594
-9.80e-04,0.0215344,0.0165344,-0.00045,,-9.80e-04,192.969
-9.78e-04,0.0212031,0.0165063,-0.0004375,,-9.78e-04,151.555
-9.76e-04,0.0208813,0.016525,-0.000426563,,-9.76e-04,170.305
-9.74e-04,0.0205391,0.0165047,-0.000429688,,-9.74e-04,160.938
-9.72e-04,0.0202078,0.0164297,-0.000429688,,-9.72e-04,128.117
-9.70e-04,0.0199313,0.0165625,-0.000446875,,-9.70e-04,204.688
-9.68e-04,0.0196422,0.0165109,-0.000451563,,-9.68e-04,118.742
-9.66e-04,0.0193781,0.0165516,-0.0004375,,-9.66e-04,152.344
-9.64e-04,0.0190984,0.01645,-0.00044375,,-9.64e-04,89.0547
-9.62e-04,0.0189062,0.0166,-0.000423438,,-9.62e-04,171.094
-9.60e-04,0.0188344,0.0163391,-0.000454688,,-9.60e-04,-94.5312
-9.58e-04,0.0187234,0.0162625,-0.000470313,,-9.58e-04,17.1797
-9.56e-04,0.0185625,0.0163688,-0.000475,,-9.56e-04,133.594
-9.54e-04,0.0184031,0.0163031,-0.000482813,,-9.54e-04,46.875
-9.52e-04,0.0182484,0.0163313,-0.000478125,,-9.52e-04,91.3984
-9.50e-04,0.0180781,0.0162375,-0.000471875,,-9.50e-04,38.2812
-9.48e-04,0.0179188,0.0162125,-0.000464063,,-9.48e-04,67.1797
-9.46e-04,0.0177563,0.0162828,-0.000446875,,-9.46e-04,116.398
-9.44e-04,0.0175734,0.0163797,-0.000446875,,-9.44e-04,139.844
