Model,DPO4054
Firmware Version,2.68

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,4e-05,
Horizontal Delay,0.0002132,
Sample Interval,4e-07,
Record Length,1000,
Gating,0.0% to 100.0%,
Probe Attenuation,1,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,0.2,
Vertical Position,0,
,,
,,
,,
Label,,
TIME,CH2,CH3
1.320e-05,-0.0065625,0.0199391
1.360e-05,-0.00728125,0.0198859
1.400e-05,-0.008,0.0198438
1.440e-05,-0.00740625,0.0198906
1.480e-05,-0.007375,0.0199828
1.520e-05,-0.00846875,0.0200156
1.560e-05,-0.00778125,0.0198453
1.600e-05,-0.00778125,0.0198828
1.640e-05,-0.0081875,0.0198859
1.680e-05,-0.008,0.0199016
1.720e-05,-0.00859375,0.020025
1.760e-05,-0.00853125,0.0196766
1.800e-05,-0.00675,0.0197391
1.840e-05,-0.0079375,0.0197469
1.880e-05,-0.008625,0.0196953
1.920e-05,-0.00825,0.0199437
1.960e-05,-0.007875,0.0197906
2.000e-05,-0.00909375,0.0197828
2.040e-05,-0.009375,0.0197297
2.080e-05,-0.007875,0.0197031
2.120e-05,-0.008375,0.0199281
2.160e-05,-0.00765625,0.0198063
2.200e-05,-0.00878125,0.0198953
2.240e-05,-0.0083125,0.0197594
2.280e-05,-0.00859375,0.0196844
2.320e-05,-0.0089375,0.0197641
2.360e-05,-0.0070625,0.0197453
2.400e-05,-0.009125,0.0196109
2.440e-05,-0.0090625,0.0196438
2.480e-05,-0.00853125,0.0195766
2.520e-05,-0.00846875,0.0196937
2.560e-05,-0.00853125,0.01975
2.600e-05,-0.00828125,0.0195844
2.640e-05,-0.00821875,0.0195719
2.680e-05,-0.008625,0.0195641
2.720e-05,-0.00809375,0.0196063
2.760e-05,-0.00925,0.0194984
2.800e-05,-0.008625,0.0197109
2.840e-05,-0.008125,0.0195922
2.880e-05,-0.0088125,0.0194828
2.920e-05,-0.008,0.0196156
2.960e-05,-0.00834375,0.0194703
3.000e-05,-0.008625,0.0196047
3.040e-05,-0.00884375,0.0194797
3.080e-05,-0.0070625,0.0194719
3.120e-05,-0.008125,0.0196844
3.160e-05,-0.0088125,0.0194266
3.200e-05,-0.00878125,0.0195734
3.240e-05,-0.0085,0.0194062
3.280e-05,-0.00853125,0.0194687
3.320e-05,-0.009,0.0194062
3.360e-05,-0.008375,0.0194453
3.400e-05,-0.00771875,0.0195594
3.440e-05,-0.00825,0.0195391
3.480e-05,-0.00846875,0.0193328
3.520e-05,-0.00809375,0.0194344
3.560e-05,-0.00865625,0.0194266
3.600e-05,-0.00903125,0.0194172
3.640e-05,-0.00696875,0.0193234
3.680e-05,-0.0089375,0.0191672
3.720e-05,-0.008625,0.0193375
3.760e-05,-0.0085,0.0192719
3.800e-05,-0.00875,0.0193844
3.840e-05,-0.008125,0.0192969
3.880e-05,-0.008375,0.0192516
3.920e-05,-0.009,0.0192906
3.960e-05,-0.00803125,0.0192719
4.000e-05,-0.008375,0.0193688
4.040e-05,-0.0088125,0.0191906
4.080e-05,-0.0088125,0.0190828
4.120e-05,-0.008625,0.019225
4.160e-05,-0.00859375,0.0190844
