Model,DPO4054
Firmware Version,2.68

Waveform Type,ANALOG,,,,Waveform Type,ANALOG
Point Format,Y,,,,Point Format,Y
Horizontal Units,s,,,,Horizontal Units,s
Horizontal Scale,0.0002,,,,Horizontal Scale,0.0002
Horizontal Delay,0.000218,,,,Horizontal Delay,0.000218
Sample Interval,2e-06,,,,Sample Interval,2e-06
Record Length,1000,,,,Record Length,1000
Gating,0.0% to 100.0%,,,,Gating,0.0% to 100.0%
Probe Attenuation,1,,,,Probe Attenuation,1
Vertical Units,V,,,,Vertical Units,V/V
Vertical Offset,0,,,,Vertical Offset,0
Vertical Scale,0.01,,,,Vertical Scale,0.5
Vertical Position,0,,,,Vertical Position,0
,,,,,,
,,,,,,
,,,,,,
Label,,,,,Label,
TIME,CH2,CH3,CH4,,TIME,"MATH<CH2/CH3>"
-7.820e-04,0.00847031,0.0149859,-0.0031875,,-7.820e-04,0.568984
-7.800e-04,0.00842188,0.0149703,-0.003,,-7.800e-04,0.565156
-7.780e-04,0.00839219,0.0148156,-0.00284375,,-7.780e-04,0.562578
-7.760e-04,0.00834375,0.0147422,-0.0030625,,-7.760e-04,0.556328
-7.740e-04,0.00828281,0.0146625,-0.00290625,,-7.740e-04,0.560312
-7.720e-04,0.00825938,0.014625,-0.00290625,,-7.720e-04,0.558203
-7.700e-04,0.00821719,0.0146969,-0.0026875,,-7.700e-04,0.552422
-7.680e-04,0.00819844,0.0147031,-0.00253125,,-7.680e-04,0.556797
-7.660e-04,0.00813594,0.0147141,-0.00290625,,-7.660e-04,0.555469
-7.640e-04,0.00810781,0.0146422,-0.00278125,,-7.640e-04,0.553594
-7.620e-04,0.00803594,0.0146703,-0.0026875,,-7.620e-04,0.554063
-7.600e-04,0.00799844,0.0145719,-0.00309375,,-7.600e-04,0.548516
-7.580e-04,0.00795313,0.0145344,-0.00275,,-7.580e-04,0.545391
-7.560e-04,0.00792969,0.0145813,-0.0029375,,-7.560e-04,0.548828
-7.540e-04,0.00786563,0.0146078,-0.0030625,,-7.540e-04,0.546016
-7.520e-04,0.00786094,0.0145078,-0.003,,-7.520e-04,0.55125
-7.500e-04,0.0077875,0.0144594,-0.0035,,-7.500e-04,0.555703
-7.480e-04,0.00775,0.0143531,-0.0033125,,-7.480e-04,0.555547
-7.460e-04,0.00770938,0.0142969,-0.0030625,,-7.460e-04,0.547891
-7.440e-04,0.00767344,0.0142391,-0.00278125,,-7.440e-04,0.546484
-7.420e-04,0.00764219,0.0140484,-0.00309375,,-7.420e-04,0.546875
-7.400e-04,0.0076,0.0141859,-0.00315625,,-7.400e-04,0.546875
-7.380e-04,0.0076,0.0139953,-0.00278125,,-7.380e-04,0.549844
-7.360e-04,0.00753906,0.0140328,-0.003,,-7.360e-04,0.548594
-7.340e-04,0.00753906,0.01395,-0.003,,-7.340e-04,0.542969
-7.320e-04,0.00748281,0.0138172,-0.00284375,,-7.320e-04,0.542344
-7.300e-04,0.0074375,0.0137672,-0.00278125,,-7.300e-04,0.537734
-7.280e-04,0.00739375,0.0137234,-0.0029375,,-7.280e-04,0.53
-7.260e-04,0.00737344,0.0137313,-0.00309375,,-7.260e-04,0.525312
