Model,DPO4054
Firmware Version,2.68

Waveform Type,ANALOG,,
Point Format,Y,,
Horizontal Units,s,,
Horizontal Scale,4e-05,,
Horizontal Delay,0.0007572,,
Sample Interval,4e-07,,
Record Length,1000,,
Gating,0.0% to 100.0%,,
Probe Attenuation,1,,
Vertical Units,V,,
Vertical Offset,0,,
Vertical Scale,0.2,,
Vertical Position,0,,
,,,
,,,
,,,
Label,,,
TIME,CH2,CH3,CH4
6.016e-04,-0.00815625,0.0141891,-0.00454687
6.020e-04,-0.0086875,0.0140406,-0.004625
6.024e-04,-0.00775,0.0141516,-0.0049375
6.028e-04,-0.00909375,0.0140906,-0.00482812
6.032e-04,-0.00846875,0.0139578,-0.00476562
6.036e-04,-0.00740625,0.0140703,-0.00429688
6.040e-04,-0.00746875,0.0140078,-0.00482812
6.044e-04,-0.0084375,0.0139516,-0.0048125
6.048e-04,-0.0075625,0.0138531,-0.00459375
6.052e-04,-0.0090625,0.0138734,-0.00485937
6.056e-04,-0.00871875,0.0139438,-0.00475
6.060e-04,-0.0073125,0.0139688,-0.00429688
6.064e-04,-0.0086875,0.0137188,-0.00496875
6.068e-04,-0.00909375,0.0138094,-0.0048125
6.072e-04,-0.008875,0.0136984,-0.00509375
6.076e-04,-0.0085,0.0137578,-0.0045
6.080e-04,-0.0071875,0.0136375,-0.0043125
6.084e-04,-0.008375,0.0137063,-0.00451562
6.088e-04,-0.00771875,0.0135594,-0.00454687
6.092e-04,-0.00790625,0.0134828,-0.00490625
6.096e-04,-0.0081875,0.0133938,-0.004625
6.100e-04,-0.0088125,0.013525,-0.00470312
6.104e-04,-0.00853125,0.0134813,-0.00428125
6.108e-04,-0.00821875,0.0135281,-0.00426563
6.112e-04,-0.00840625,0.0133484,-0.00485937
6.116e-04,-0.007875,0.0132734,-0.00465625
6.120e-04,-0.00775,0.013275,-0.0046875
6.124e-04,-0.0091875,0.0133531,-0.00495313
6.128e-04,-0.00846875,0.013225,-0.00445313
6.132e-04,-0.00675,0.0132719,-0.00454687
6.136e-04,-0.00803125,0.0132609,-0.00442188
6.140e-04,-0.00828125,0.0131313,-0.00475
6.144e-04,-0.00771875,0.0131766,-0.00454687
6.148e-04,-0.00871875,0.0131078,-0.00457812
6.152e-04,-0.0079375,0.01305,-0.00464062
6.156e-04,-0.00959375,0.0129953,-0.00509375
6.160e-04,-0.008625,0.0131062,-0.00434375
6.164e-04,-0.0075625,0.0128547,-0.0045
6.168e-04,-0.007625,0.0129094,-0.00448438
6.172e-04,-0.00890625,0.0130672,-0.0048125
6.176e-04,-0.008,0.0129281,-0.0045
6.180e-04,-0.00859375,0.0128313,-0.00479687
6.184e-04,-0.0084375,0.0129641,-0.00484375
6.188e-04,-0.00746875,0.0128172,-0.00396875
6.192e-04,-0.0085625,0.0127906,-0.0050625
6.196e-04,-0.00896875,0.0128281,-0.00467187
6.200e-04,-0.00884375,0.0126844,-0.00460937
6.204e-04,-0.008625,0.0127797,-0.00451562
