Model,DPO4054
Firmware Version,2.68

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,4e-05
Horizontal Delay,0.0007572
Sample Interval,4e-07
Record Length,1000
Gating,0.0% to 100.0%
Probe Attenuation,10
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.01
Vertical Position,0.36
,
,
,
Label,
TIME,CH3
5.572e-04,0.0181438
5.576e-04,0.0180781
5.580e-04,0.0181406
5.584e-04,0.0180016
5.588e-04,0.0180484
5.592e-04,0.0179953
5.596e-04,0.0178734
5.600e-04,0.0179688
5.604e-04,0.0177781
5.608e-04,0.0177625
5.612e-04,0.0177125
5.616e-04,0.0176766
5.620e-04,0.0177688
5.624e-04,0.0178406
5.628e-04,0.0175531
5.632e-04,0.0174688
5.636e-04,0.0174672
5.640e-04,0.0175922
5.644e-04,0.0173563
5.648e-04,0.01745
5.652e-04,0.0174078
5.656e-04,0.0173125
5.660e-04,0.0172969
5.664e-04,0.0172266
5.668e-04,0.0170953
5.672e-04,0.0172125
5.676e-04,0.0170453
5.680e-04,0.0170891
5.684e-04,0.01705
5.688e-04,0.0168844
5.692e-04,0.0171344
5.696e-04,0.0169219
5.700e-04,0.0168813
5.704e-04,0.0168375
5.708e-04,0.0167156
5.712e-04,0.0168078
5.716e-04,0.0168625
5.720e-04,0.0167438
5.724e-04,0.0166297
5.728e-04,0.0165734
5.732e-04,0.0166625
5.736e-04,0.0164234
5.740e-04,0.0163859
5.744e-04,0.0164391
5.748e-04,0.0164172
5.752e-04,0.0165156
5.756e-04,0.0164734
5.760e-04,0.0164438
5.764e-04,0.0162688
5.768e-04,0.016125
5.772e-04,0.0164156
5.776e-04,0.0160797
5.780e-04,0.0162188
5.784e-04,0.0161625
5.788e-04,0.0160672
5.792e-04,0.0160234
5.796e-04,0.0159484
5.800e-04,0.0159234
5.804e-04,0.0159453
5.808e-04,0.0159516
5.812e-04,0.0160234
5.816e-04,0.0158625
5.820e-04,0.0157141
5.824e-04,0.0157203
5.828e-04,0.0157344
5.832e-04,0.0156672
5.836e-04,0.0155438
5.840e-04,0.0157719
5.844e-04,0.0153969
5.848e-04,0.0156203
5.852e-04,0.0156281
5.856e-04,0.0154406
5.860e-04,0.0153266
5.864e-04,0.0155078
5.868e-04,0.0153531
5.872e-04,0.0153859
5.876e-04,0.0153656
5.880e-04,0.0154094
5.884e-04,0.0151047
5.888e-04,0.0151469
5.892e-04,0.0151781
5.896e-04,0.0150547
5.900e-04,0.0150375
5.904e-04,0.0150938
5.908e-04,0.0149984
5.912e-04,0.0150344
5.916e-04,0.0148359
5.920e-04,0.0149203
5.924e-04,0.0147406
5.928e-04,0.0149422
5.932e-04,0.0148031
5.936e-04,0.0147438
5.940e-04,0.0147937
5.944e-04,0.014675
5.948e-04,0.0146672
5.952e-04,0.0149844
5.956e-04,0.0146906
5.960e-04,0.0144516
5.964e-04,0.0145281
5.968e-04,0.0143953
5.972e-04,0.0146203
5.976e-04,0.0145109
5.980e-04,0.0144531
5.984e-04,0.0143875
5.988e-04,0.0142922
5.992e-04,0.0143063
5.996e-04,0.0142594
6.000e-04,0.0142516
6.004e-04,0.0142562
6.008e-04,0.0140406
6.012e-04,0.0142031
6.016e-04,0.0140422
6.020e-04,0.0141656
6.024e-04,0.0140734
6.028e-04,0.0139859
6.032e-04,0.0139281
6.036e-04,0.0138547
6.040e-04,0.0139563
6.044e-04,0.0138406
6.048e-04,0.0138063
6.052e-04,0.0138531
6.056e-04,0.0136891
6.060e-04,0.0139281
6.064e-04,0.0136484
6.068e-04,0.0135828
6.072e-04,0.01375
6.076e-04,0.0135734
6.080e-04,0.0137516
6.084e-04,0.0135937
6.088e-04,0.0135172
6.092e-04,0.0134313
6.096e-04,0.0134422
6.100e-04,0.0134484
6.104e-04,0.0133562
6.108e-04,0.0133797
6.112e-04,0.0132812
6.116e-04,0.0132234
6.120e-04,0.0132766
6.124e-04,0.0132578
6.128e-04,0.0131984
6.132e-04,0.0133578
6.136e-04,0.0130625
6.140e-04,0.0131641
6.144e-04,0.0131
6.148e-04,0.0129031
6.152e-04,0.0131281
6.156e-04,0.0128672
6.160e-04,0.0129984
6.164e-04,0.0129625
6.168e-04,0.0128359
6.172e-04,0.0127891
6.176e-04,0.0129719
6.180e-04,0.012925
6.184e-04,0.0128016
6.188e-04,0.0128266
6.192e-04,0.0126766
6.196e-04,0.0127609
6.200e-04,0.0127031
6.204e-04,0.0126766
6.208e-04,0.0126453
6.212e-04,0.0126156
6.216e-04,0.0124641
6.220e-04,0.0126078
6.224e-04,0.0125578
6.228e-04,0.0125031
6.232e-04,0.0125172
6.236e-04,0.0123391
6.240e-04,0.0123625
6.244e-04,0.0123781
6.248e-04,0.0122734
6.252e-04,0.0123922
6.256e-04,0.0122437
6.260e-04,0.0123969
6.264e-04,0.0123766
6.268e-04,0.0122187
6.272e-04,0.0120094
6.276e-04,0.0118578
6.280e-04,0.0121656
6.284e-04,0.0120156
6.288e-04,0.0119391
6.292e-04,0.0119859
6.296e-04,0.011925
6.300e-04,0.0118984
6.304e-04,0.0119
6.308e-04,0.0119016
6.312e-04,0.0119437
6.316e-04,0.0118516
6.320e-04,0.0118875
6.324e-04,0.0118656
6.328e-04,0.0116578
6.332e-04,0.0115625
6.336e-04,0.0117031
6.340e-04,0.0118172
6.344e-04,0.0117547
6.348e-04,0.0115187
6.352e-04,0.0117406
6.356e-04,0.0115203
6.360e-04,0.0115625
6.364e-04,0.0116656
6.368e-04,0.0115312
6.372e-04,0.0115438
6.376e-04,0.0113344
6.380e-04,0.0114344
6.384e-04,0.0114734
6.388e-04,0.0114828
6.392e-04,0.0115484
6.396e-04,0.0113875
6.400e-04,0.0113859
6.404e-04,0.011225
6.408e-04,0.0112984
6.412e-04,0.0113469
6.416e-04,0.01125
6.420e-04,0.0113922
6.424e-04,0.0110672
6.428e-04,0.0111531
6.432e-04,0.0111703
6.436e-04,0.0110516
6.440e-04,0.0110641
6.444e-04,0.0110766
6.448e-04,0.010975
6.452e-04,0.0110703
6.456e-04,0.0108781
6.460e-04,0.0108781
6.464e-04,0.010875
6.468e-04,0.0108594
6.472e-04,0.0108266
6.476e-04,0.0110203
6.480e-04,0.0108375
6.484e-04,0.0106969
6.488e-04,0.0107219
6.492e-04,0.0107531
6.496e-04,0.0106969
6.500e-04,0.0108875
6.504e-04,0.0105734
6.508e-04,0.0106625
6.512e-04,0.0105906
6.516e-04,0.0105469
6.520e-04,0.0104641
6.524e-04,0.0105172
6.528e-04,0.0103234
6.532e-04,0.0104047
6.536e-04,0.0104406
6.540e-04,0.0103297
6.544e-04,0.0104344
6.548e-04,0.0103875
6.552e-04,0.0102922
6.556e-04,0.0103109
6.560e-04,0.0102937
6.564e-04,0.0102047
6.568e-04,0.0102125
6.572e-04,0.0102188
6.576e-04,0.0102234
6.580e-04,0.0102141
6.584e-04,0.0101672
6.588e-04,0.0101141
6.592e-04,0.0100391
6.596e-04,0.0100844
6.600e-04,0.0101953
6.604e-04,0.0101484
6.608e-04,0.00998906
6.612e-04,0.00991094
6.616e-04,0.0099125
6.620e-04,0.0100781
6.624e-04,0.00989375
6.628e-04,0.00979219
6.632e-04,0.0098125
6.636e-04,0.00978281
6.640e-04,0.00991875
6.644e-04,0.00980469
6.648e-04,0.00964844
6.652e-04,0.00966875
6.656e-04,0.00962656
6.660e-04,0.00967344
6.664e-04,0.00982344
6.668e-04,0.00954219
6.672e-04,0.009625
6.676e-04,0.00967187
6.680e-04,0.00945937
6.684e-04,0.00960625
6.688e-04,0.00953281
6.692e-04,0.00962969
6.696e-04,0.00947969
6.700e-04,0.00965469
6.704e-04,0.00933594
6.708e-04,0.00922031
6.712e-04,0.00932344
6.716e-04,0.0093875
6.720e-04,0.00937812
6.724e-04,0.00935625
6.728e-04,0.00924531
6.732e-04,0.00925156
6.736e-04,0.0092375
6.740e-04,0.00949844
6.744e-04,0.00921562
6.748e-04,0.00922031
6.752e-04,0.00925
6.756e-04,0.00906562
6.760e-04,0.00906094
6.764e-04,0.0092125
6.768e-04,0.00919688
6.772e-04,0.00917813
6.776e-04,0.0091
6.780e-04,0.00920312
6.784e-04,0.00905937
6.788e-04,0.00902656
6.792e-04,0.00910937
6.796e-04,0.00897969
6.800e-04,0.00893281
6.804e-04,0.00892031
6.808e-04,0.00889062
6.812e-04,0.00900469
6.816e-04,0.00877188
6.820e-04,0.00875156
6.824e-04,0.00887656
6.828e-04,0.00877656
6.832e-04,0.00860625
6.836e-04,0.00866562
6.840e-04,0.00870938
6.844e-04,0.00860781
6.848e-04,0.00869844
6.852e-04,0.00867344
6.856e-04,0.00863906
6.860e-04,0.00863906
6.864e-04,0.00862969
6.868e-04,0.00848594
6.872e-04,0.00874063
6.876e-04,0.00840312
6.880e-04,0.00848125
6.884e-04,0.00843437
6.888e-04,0.008425
6.892e-04,0.00839687
6.896e-04,0.00824844
6.900e-04,0.00853281
6.904e-04,0.00850156
6.908e-04,0.00830937
6.912e-04,0.00835469
6.916e-04,0.00820625
6.920e-04,0.00843437
6.924e-04,0.00822344
6.928e-04,0.00820625
6.932e-04,0.00829688
6.936e-04,0.0082625
6.940e-04,0.00822344
6.944e-04,0.00830781
6.948e-04,0.0080625
6.952e-04,0.00824844
6.956e-04,0.00810625
6.960e-04,0.00807813
6.964e-04,0.00812031
6.968e-04,0.00809531
6.972e-04,0.0082625
6.976e-04,0.00802187
6.980e-04,0.00795937
6.984e-04,0.00794375
6.988e-04,0.00776406
6.992e-04,0.00811406
6.996e-04,0.00784531
7.000e-04,0.0078625
7.004e-04,0.00794687
7.008e-04,0.00789687
7.012e-04,0.00800312
7.016e-04,0.00779531
7.020e-04,0.00769688
7.024e-04,0.00777813
7.028e-04,0.00777656
7.032e-04,0.00784375
7.036e-04,0.00770937
7.040e-04,0.00765781
7.044e-04,0.00766719
7.048e-04,0.00775469
7.052e-04,0.00787969
7.056e-04,0.00759219
7.060e-04,0.00765156
7.064e-04,0.00758281
7.068e-04,0.00748125
7.072e-04,0.00754844
7.076e-04,0.00762969
7.080e-04,0.00760937
7.084e-04,0.00758281
7.088e-04,0.00734687
7.092e-04,0.007475
7.096e-04,0.00736719
7.100e-04,0.00752344
7.104e-04,0.00745469
7.108e-04,0.00727656
7.112e-04,0.0074125
7.116e-04,0.00726562
7.120e-04,0.00748125
7.124e-04,0.00733438
7.128e-04,0.00739375
7.132e-04,0.00745469
7.136e-04,0.00729375
7.140e-04,0.00730781
7.144e-04,0.00737969
7.148e-04,0.00718437
7.152e-04,0.00717031
7.156e-04,0.00708125
7.160e-04,0.00713594
7.164e-04,0.00722656
7.168e-04,0.00710937
7.172e-04,0.00722031
7.176e-04,0.00695
7.180e-04,0.00705156
7.184e-04,0.00708125
7.188e-04,0.00708594
7.192e-04,0.0069875
7.196e-04,0.00704375
7.200e-04,0.00692969
7.204e-04,0.00700469
7.208e-04,0.00693125
7.212e-04,0.00707656
7.216e-04,0.00678125
7.220e-04,0.00685156
7.224e-04,0.00692031
7.228e-04,0.00690625
7.232e-04,0.0069125
7.236e-04,0.00665156
7.240e-04,0.00689062
7.244e-04,0.00674844
7.248e-04,0.00666406
7.252e-04,0.00679687
7.256e-04,0.00682187
7.260e-04,0.00681563
7.264e-04,0.00670625
7.268e-04,0.00665469
7.272e-04,0.00670312
7.276e-04,0.00664062
7.280e-04,0.00674531
7.284e-04,0.006575
7.288e-04,0.00658281
7.292e-04,0.00654531
7.296e-04,0.00662656
7.300e-04,0.00647344
7.304e-04,0.00661562
7.308e-04,0.00642969
7.312e-04,0.00646875
7.316e-04,0.00648438
7.320e-04,0.00661875
7.324e-04,0.00645937
7.328e-04,0.00647969
7.332e-04,0.00640469
7.336e-04,0.00627187
7.340e-04,0.00627812
7.344e-04,0.00645
7.348e-04,0.0064125
7.352e-04,0.00637656
