Model,DPO4054
Firmware Version,2.68

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,0.001
Horizontal Delay,0
Sample Interval,1e-05
Record Length,1000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,1
Vertical Position,0
,
,
,
Label,
TIME,CH1
-5.000e-03,-0.24
-4.990e-03,2.68
-4.980e-03,2.24
-4.970e-03,2.76
-4.960e-03,2.24
-4.950e-03,2.72
-4.940e-03,2.24
-4.930e-03,2.76
-4.920e-03,2.24
-4.910e-03,2.76
-4.900e-03,2.24
-4.890e-03,2.76
-4.880e-03,2.24
-4.870e-03,2.76
-4.860e-03,2.24
-4.850e-03,2.72
-4.840e-03,2.24
-4.830e-03,2.72
-4.820e-03,2.24
-4.810e-03,2.72
-4.800e-03,2.24
-4.790e-03,2.76
-4.780e-03,2.24
-4.770e-03,2.76
-4.760e-03,2.24
-4.750e-03,2.72
-4.740e-03,2.24
-4.730e-03,2.76
-4.720e-03,2.24
-4.710e-03,2.72
-4.700e-03,2.2
-4.690e-03,2.72
-4.680e-03,2.28
-4.670e-03,2.76
-4.660e-03,2.2
-4.650e-03,2.76
-4.640e-03,2.24
-4.630e-03,2.72
-4.620e-03,2.24
-4.610e-03,2.76
-4.600e-03,2.24
-4.590e-03,2.72
-4.580e-03,2.24
-4.570e-03,2.72
-4.560e-03,2.24
-4.550e-03,2.76
-4.540e-03,2.24
-4.530e-03,2.72
-4.520e-03,2.24
-4.510e-03,2.8
-4.500e-03,-0.24
-4.490e-03,2.72
-4.480e-03,-0.24
-4.470e-03,0.28
-4.460e-03,-0.24
-4.450e-03,0.24
-4.440e-03,-0.24
-4.430e-03,0.24
-4.420e-03,-0.24
-4.410e-03,0.24
-4.400e-03,-0.24
-4.390e-03,0.24
-4.380e-03,-0.24
-4.370e-03,0.24
-4.360e-03,-0.28
-4.350e-03,0.24
-4.340e-03,-0.24
-4.330e-03,0.24
-4.320e-03,-0.24
-4.310e-03,0.28
-4.300e-03,-0.24
-4.290e-03,0.24
-4.280e-03,-0.24
-4.270e-03,0.2
-4.260e-03,-0.24
-4.250e-03,0.24
-4.240e-03,-0.24
-4.230e-03,0.24
-4.220e-03,-0.24
-4.210e-03,0.24
-4.200e-03,-0.24
-4.190e-03,0.24
-4.180e-03,-0.24
-4.170e-03,0.24
-4.160e-03,-0.2
-4.150e-03,0.24
-4.140e-03,-0.24
-4.130e-03,0.24
-4.120e-03,-0.24
-4.110e-03,0.24
-4.100e-03,-0.2
-4.090e-03,0.2
-4.080e-03,-0.28
-4.070e-03,0.24
-4.060e-03,-0.24
-4.050e-03,0.2
-4.040e-03,-0.28
-4.030e-03,0.28
-4.020e-03,-0.24
-4.010e-03,0.24
-4.000e-03,-0.24
-3.990e-03,2.68
-3.980e-03,2.24
-3.970e-03,2.76
-3.960e-03,2.28
-3.950e-03,2.72
-3.940e-03,2.24
-3.930e-03,2.72
-3.920e-03,2.24
-3.910e-03,2.72
-3.900e-03,2.24
-3.890e-03,2.76
-3.880e-03,2.24
-3.870e-03,2.72
-3.860e-03,2.24
-3.850e-03,2.72
-3.840e-03,2.24
-3.830e-03,2.76
-3.820e-03,2.24
-3.810e-03,2.72
-3.800e-03,2.28
-3.790e-03,2.72
-3.780e-03,2.24
-3.770e-03,2.72
-3.760e-03,2.24
-3.750e-03,2.72
-3.740e-03,2.24
-3.730e-03,2.72
-3.720e-03,2.24
-3.710e-03,2.76
-3.700e-03,2.24
-3.690e-03,2.76
-3.680e-03,2.24
-3.670e-03,2.76
-3.660e-03,2.24
-3.650e-03,2.72
-3.640e-03,2.24
-3.630e-03,2.76
-3.620e-03,2.24
-3.610e-03,2.72
-3.600e-03,2.24
-3.590e-03,2.76
-3.580e-03,2.24
-3.570e-03,2.72
-3.560e-03,2.24
-3.550e-03,2.76
-3.540e-03,2.28
-3.530e-03,2.76
-3.520e-03,2.2
-3.510e-03,2.76
-3.500e-03,-0.2
-3.490e-03,2.72
-3.480e-03,-0.24
-3.470e-03,0.2
-3.460e-03,-0.24
-3.450e-03,0.24
-3.440e-03,-0.24
-3.430e-03,0.24
-3.420e-03,-0.24
-3.410e-03,0.24
-3.400e-03,-0.24
-3.390e-03,0.24
-3.380e-03,-0.24
-3.370e-03,0.24
-3.360e-03,-0.24
-3.350e-03,0.24
-3.340e-03,-0.24
-3.330e-03,0.24
-3.320e-03,-0.24
-3.310e-03,0.28
-3.300e-03,-0.28
-3.290e-03,0.28
-3.280e-03,-0.28
-3.270e-03,0.24
-3.260e-03,-0.24
-3.250e-03,0.24
-3.240e-03,-0.28
-3.230e-03,0.24
-3.220e-03,-0.24
-3.210e-03,0.24
-3.200e-03,-0.24
-3.190e-03,0.24
-3.180e-03,-0.28
-3.170e-03,0.24
-3.160e-03,-0.24
-3.150e-03,0.24
-3.140e-03,-0.24
-3.130e-03,0.24
-3.120e-03,-0.28
-3.110e-03,0.24
-3.100e-03,-0.24
-3.090e-03,0.24
-3.080e-03,-0.28
-3.070e-03,0.24
-3.060e-03,-0.24
-3.050e-03,0.2
-3.040e-03,-0.24
-3.030e-03,0.24
-3.020e-03,-0.24
-3.010e-03,0.24
-3.000e-03,-0.24
-2.990e-03,2.72
-2.980e-03,2.24
-2.970e-03,2.76
-2.960e-03,2.24
-2.950e-03,2.72
-2.940e-03,2.24
-2.930e-03,2.72
-2.920e-03,2.28
-2.910e-03,2.76
-2.900e-03,2.24
-2.890e-03,2.76
-2.880e-03,2.24
-2.870e-03,2.76
-2.860e-03,2.28
-2.850e-03,2.72
-2.840e-03,2.24
-2.830e-03,2.76
-2.820e-03,2.24
-2.810e-03,2.76
-2.800e-03,2.24
-2.790e-03,2.76
-2.780e-03,2.24
-2.770e-03,2.72
-2.760e-03,2.28
-2.750e-03,2.72
-2.740e-03,2.24
-2.730e-03,2.72
-2.720e-03,2.28
-2.710e-03,2.76
-2.700e-03,2.28
-2.690e-03,2.76
-2.680e-03,2.28
-2.670e-03,2.72
-2.660e-03,2.24
-2.650e-03,2.76
-2.640e-03,2.24
-2.630e-03,2.76
-2.620e-03,2.24
-2.610e-03,2.72
-2.600e-03,2.24
-2.590e-03,2.72
-2.580e-03,2.24
-2.570e-03,2.76
-2.560e-03,2.24
-2.550e-03,2.76
-2.540e-03,2.24
-2.530e-03,2.72
-2.520e-03,2.24
-2.510e-03,2.76
-2.500e-03,-0.24
-2.490e-03,2.76
-2.480e-03,-0.24
-2.470e-03,0.24
-2.460e-03,-0.24
-2.450e-03,0.24
-2.440e-03,-0.24
-2.430e-03,0.28
-2.420e-03,-0.24
-2.410e-03,0.24
-2.400e-03,-0.24
-2.390e-03,0.24
-2.380e-03,-0.24
-2.370e-03,0.24
-2.360e-03,-0.24
-2.350e-03,0.24
-2.340e-03,-0.24
-2.330e-03,0.24
-2.320e-03,-0.24
-2.310e-03,0.2
-2.300e-03,-0.24
-2.290e-03,0.24
-2.280e-03,-0.24
-2.270e-03,0.24
-2.260e-03,-0.24
-2.250e-03,0.24
-2.240e-03,-0.28
-2.230e-03,0.24
-2.220e-03,-0.24
-2.210e-03,0.28
-2.200e-03,-0.24
-2.190e-03,0.24
-2.180e-03,-0.24
-2.170e-03,0.24
-2.160e-03,-0.28
-2.150e-03,0.28
-2.140e-03,-0.24
-2.130e-03,0.24
-2.120e-03,-0.28
-2.110e-03,0.24
-2.100e-03,-0.24
-2.090e-03,0.2
-2.080e-03,-0.28
-2.070e-03,0.24
-2.060e-03,-0.28
-2.050e-03,0.24
-2.040e-03,-0.24
-2.030e-03,0.24
-2.020e-03,-0.24
-2.010e-03,0.24
-2.000e-03,-0.24
-1.990e-03,2.76
-1.980e-03,2.24
-1.970e-03,2.76
-1.960e-03,2.2
-1.950e-03,2.76
-1.940e-03,2.24
-1.930e-03,2.72
-1.920e-03,2.24
-1.910e-03,2.72
-1.900e-03,2.24
-1.890e-03,2.76
-1.880e-03,2.28
-1.870e-03,2.72
-1.860e-03,2.24
-1.850e-03,2.76
-1.840e-03,2.24
-1.830e-03,2.72
-1.820e-03,2.28
-1.810e-03,2.72
-1.800e-03,2.24
-1.790e-03,2.76
-1.780e-03,2.24
-1.770e-03,2.76
-1.760e-03,2.24
-1.750e-03,2.76
-1.740e-03,2.24
-1.730e-03,2.72
-1.720e-03,2.24
-1.710e-03,2.76
-1.700e-03,2.24
-1.690e-03,2.72
-1.680e-03,2.24
-1.670e-03,2.76
-1.660e-03,2.24
-1.650e-03,2.72
-1.640e-03,2.24
-1.630e-03,2.72
-1.620e-03,2.24
-1.610e-03,2.8
-1.600e-03,2.28
-1.590e-03,2.76
-1.580e-03,2.24
-1.570e-03,2.8
-1.560e-03,2.24
-1.550e-03,2.76
-1.540e-03,2.2
-1.530e-03,2.72
-1.520e-03,2.2
-1.510e-03,2.76
-1.500e-03,-0.2
-1.490e-03,2.72
-1.480e-03,-0.24
-1.470e-03,0.24
-1.460e-03,-0.24
-1.450e-03,0.24
-1.440e-03,-0.28
-1.430e-03,0.24
-1.420e-03,-0.24
-1.410e-03,0.24
-1.400e-03,-0.24
-1.390e-03,0.28
-1.380e-03,-0.24
-1.370e-03,0.24
-1.360e-03,-0.24
-1.350e-03,0.24
-1.340e-03,-0.28
-1.330e-03,0.24
-1.320e-03,-0.28
-1.310e-03,0.2
-1.300e-03,-0.28
-1.290e-03,0.24
-1.280e-03,-0.24
-1.270e-03,0.24
-1.260e-03,-0.24
-1.250e-03,0.28
-1.240e-03,-0.24
-1.230e-03,0.24
-1.220e-03,-0.24
-1.210e-03,0.2
-1.200e-03,-0.24
-1.190e-03,0.24
-1.180e-03,-0.24
-1.170e-03,0.24
-1.160e-03,-0.24
-1.150e-03,0.24
-1.140e-03,-0.28
-1.130e-03,0.24
-1.120e-03,-0.24
-1.110e-03,0.24
-1.100e-03,-0.24
-1.090e-03,0.24
-1.080e-03,-0.24
-1.070e-03,0.24
-1.060e-03,-0.28
-1.050e-03,0.2
-1.040e-03,-0.24
-1.030e-03,0.24
-1.020e-03,-0.24
-1.010e-03,0.24
-1.000e-03,-0.24
-9.900e-04,2.72
-9.800e-04,2.24
-9.700e-04,2.76
-9.600e-04,2.2
-9.500e-04,2.72
-9.400e-04,2.24
-9.300e-04,2.76
-9.200e-04,2.24
-9.100e-04,2.72
-9.000e-04,2.24
-8.900e-04,2.8
-8.800e-04,2.24
-8.700e-04,2.76
-8.600e-04,2.24
-8.500e-04,2.72
-8.400e-04,2.24
-8.300e-04,2.72
-8.200e-04,2.24
-8.100e-04,2.76
-8.000e-04,2.24
-7.900e-04,2.76
-7.800e-04,2.24
-7.700e-04,2.76
-7.600e-04,2.24
-7.500e-04,2.76
-7.400e-04,2.2
-7.300e-04,2.76
-7.200e-04,2.24
-7.100e-04,2.76
-7.000e-04,2.24
-6.900e-04,2.72
-6.800e-04,2.24
-6.700e-04,2.72
-6.600e-04,2.24
-6.500e-04,2.72
-6.400e-04,2.24
-6.300e-04,2.72
-6.200e-04,2.24
-6.100e-04,2.76
-6.000e-04,2.28
-5.900e-04,2.72
-5.800e-04,2.24
-5.700e-04,2.72
-5.600e-04,2.24
-5.500e-04,2.76
-5.400e-04,2.28
-5.300e-04,2.72
-5.200e-04,2.28
-5.100e-04,2.76
-5.000e-04,-0.2
-4.900e-04,2.76
-4.800e-04,-0.28
-4.700e-04,0.28
-4.600e-04,-0.24
-4.500e-04,0.24
-4.400e-04,-0.24
-4.300e-04,0.28
-4.200e-04,-0.24
-4.100e-04,0.24
-4.000e-04,-0.28
-3.900e-04,0.24
-3.800e-04,-0.28
-3.700e-04,0.24
-3.600e-04,-0.28
-3.500e-04,0.24
-3.400e-04,-0.24
-3.300e-04,0.24
-3.200e-04,-0.24
-3.100e-04,0.24
-3.000e-04,-0.24
-2.900e-04,0.24
