Model,DPO4054
Firmware Version,2.68

Waveform Type,ANALOG,,,,Waveform Type,ANALOG
Point Format,Y,,,,Point Format,Y
Horizontal Units,s,,,,Horizontal Units,s
Horizontal Scale,0.0002,,,,Horizontal Scale,0.0002
Horizontal Delay,0.0002,,,,Horizontal Delay,0.0002
Sample Interval,2e-06,,,,Sample Interval,2e-06
Record Length,1000,,,,Record Length,1000
Gating,0.0% to 100.0%,,,,Gating,0.0% to 100.0%
Probe Attenuation,1,,,,Probe Attenuation,1
Vertical Units,V,,,,Vertical Units,V/s
Vertical Offset,0,,,,Vertical Offset,0
Vertical Scale,0.01,,,,Vertical Scale,100
Vertical Position,0,,,,Vertical Position,0
,,,,,,
,,,,,,
,,,,,,
Label,,,,,Label,
TIME,CH2,CH3,CH4,,TIME,"MATH<DIFF(CH3)-DIFF(CH2)>"
-6.660e-04,0.00708438,0.0100313,-0.000284375,,-6.660e-04,35.9219
-6.640e-04,0.00705938,0.0100922,-0.000279687,,-6.640e-04,42.9688
-6.620e-04,0.00703594,0.010025,-0.000264063,,-6.620e-04,-21.875
-6.600e-04,0.00701094,0.00997344,-0.000264063,,-6.600e-04,-13.2656
-6.580e-04,0.00694219,0.00993281,-0.000275,,-6.580e-04,14.0625
-6.560e-04,0.00692656,0.00990313,-0.000276563,,-6.560e-04,-7.01562
-6.540e-04,0.00690313,0.0099,-0.000296875,,-6.540e-04,10.1406
-6.520e-04,0.00687656,0.00977813,-0.000309375,,-6.520e-04,-47.6406
-6.500e-04,0.0068375,0.00992969,-0.000284375,,-6.500e-04,95.3125
-6.480e-04,0.00680938,0.00983125,-0.000275,,-6.480e-04,-35.1562
-6.460e-04,0.00677188,0.00982656,-0.00028125,,-6.460e-04,16.3906
-6.440e-04,0.00674688,0.00967969,-0.000292188,,-6.440e-04,-60.9219
-6.420e-04,0.00671563,0.00949375,-0.0002875,,-6.420e-04,-77.3438
-6.400e-04,0.00669063,0.00948125,-0.000275,,-6.400e-04,6.25
-6.380e-04,0.00665313,0.00944531,-0.000271875,,-6.380e-04,0.78125
-6.360e-04,0.0066375,0.00939688,-0.0002875,,-6.360e-04,-16.4062
-6.340e-04,0.00659844,0.00947344,-0.00028125,,-6.340e-04,57.8125
-6.320e-04,0.00657813,0.0094,-0.000260937,,-6.320e-04,-26.5625
-6.300e-04,0.00655781,0.00919844,-0.00025625,,-6.300e-04,-90.6094
-6.280e-04,0.00652344,0.00913281,-0.000276563,,-6.280e-04,-15.625
-6.260e-04,0.00649531,0.00915312,-0.000289063,,-6.260e-04,24.2031
-6.240e-04,0.00646719,0.00915781,-0.000309375,,-6.240e-04,16.3906
-6.220e-04,0.00645156,0.00910469,-0.000301563,,-6.220e-04,-18.7344
-6.200e-04,0.00643125,0.00925781,-0.00028125,,-6.200e-04,86.7031
-6.180e-04,0.00640156,0.00929531,-0.000289063,,-6.180e-04,33.5781
-6.160e-04,0.00638125,0.00934688,-0.000275,,-6.160e-04,35.9375
-6.140e-04,0.00634844,0.00945312,-0.000296875,,-6.140e-04,69.5156
-6.120e-04,0.00631719,0.00909219,-0.000276563,,-6.120e-04,-164.828
-6.100e-04,0.00628125,0.00909531,-0.000289063,,-6.100e-04,19.5312
-6.080e-04,0.00626875,0.00916094,-0.000271875,,-6.080e-04,39.0625
-6.060e-04,0.00622344,0.00909531,-0.000276563,,-6.060e-04,-10.1406
-6.040e-04,0.00621875,0.00898906,-0.000264063,,-6.040e-04,-50.7812
-6.020e-04,0.0061875,0.00903594,-0.000275,,-6.020e-04,39.0625
-6.000e-04,0.0061625,0.00900938,-0.000276563,,-6.000e-04,-0.765625
-5.980e-04,0.00615,0.00892813,-0.00025625,,-5.980e-04,-34.375
-5.960e-04,0.00610156,0.00883281,-0.000264063,,-5.960e-04,-23.4375
-5.940e-04,0.00609844,0.00869844,-0.000267188,,-5.940e-04,-65.6094
-5.920e-04,0.00607656,0.00867344,-0.000276563,,-5.920e-04,-1.5625
-5.900e-04,0.00604844,0.00856406,-0.0003,,-5.900e-04,-40.6094
-5.880e-04,0.00602969,0.00860781,-0.000307813,,-5.880e-04,31.25
-5.860e-04,0.00602031,0.00858281,-0.000317188,,-5.860e-04,-7.8125
-5.840e-04,0.00598281,0.00855156,-0.000309375,,-5.840e-04,3.125
-5.820e-04,0.00594219,0.00849531,-0.000301563,,-5.820e-04,-7.79688
-5.800e-04,0.00594375,0.00852187,-0.000284375,,-5.800e-04,12.4844
-5.780e-04,0.00592344,0.00824688,-0.000275,,-5.780e-04,-127.328
-5.760e-04,0.00589063,0.00840156,-0.00028125,,-5.760e-04,93.75
-5.740e-04,0.00587813,0.00822656,-0.000307813,,-5.740e-04,-81.25
-5.720e-04,0.00585781,0.00838594,-0.000301563,,-5.720e-04,89.8438
-5.700e-04,0.00580625,0.00839375,-0.000296875,,-5.700e-04,29.6719
-5.680e-04,0.0058,0.00849062,-0.000267188,,-5.680e-04,51.5625
-5.660e-04,0.00577344,0.00837188,-0.000239063,,-5.660e-04,-46.0938
-5.640e-04,0.00574531,0.00834063,-0.000234375,,-5.640e-04,-1.54688
-5.620e-04,0.00571875,0.00818594,-0.00025625,,-5.620e-04,-64.0625
-5.600e-04,0.00566719,0.00793281,-0.000295313,,-5.600e-04,-100.766
-5.580e-04,0.00565938,0.00788594,-0.000320313,,-5.580e-04,-19.5312
