Model,DPO4054
Firmware Version,2.68

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,4e-05,
Horizontal Delay,0.0007592,
Sample Interval,4e-07,
Record Length,1000,
Gating,0.0% to 100.0%,
Probe Attenuation,1,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,0.2,
Vertical Position,0,
,,
,,
,,
Label,,
TIME,CH2,CH3
5.592e-04,-0.00753125,0.0170922
5.596e-04,-0.00821875,0.0172062
5.600e-04,-0.007875,0.0171484
5.604e-04,-0.00803125,0.0172797
5.608e-04,-0.00809375,0.0172359
5.612e-04,-0.008375,0.0171531
5.616e-04,-0.00790625,0.0171875
5.620e-04,-0.00803125,0.0169516
5.624e-04,-0.0078125,0.0168953
5.628e-04,-0.0086875,0.0168047
5.632e-04,-0.0088125,0.0170219
5.636e-04,-0.0085,0.0168469
5.640e-04,-0.00678125,0.0169047
5.644e-04,-0.00721875,0.0168109
5.648e-04,-0.00846875,0.0168578
5.652e-04,-0.0089375,0.016725
5.656e-04,-0.00790625,0.0166969
5.660e-04,-0.00784375,0.0165797
5.664e-04,-0.0088125,0.0166641
5.668e-04,-0.00853125,0.0166172
5.672e-04,-0.00784375,0.0164734
5.676e-04,-0.007875,0.0164203
5.680e-04,-0.00778125,0.0166109
5.684e-04,-0.00815625,0.0163641
5.688e-04,-0.008875,0.0163594
5.692e-04,-0.0089375,0.0163766
5.696e-04,-0.00703125,0.0163031
5.700e-04,-0.008625,0.0161844
5.704e-04,-0.00859375,0.01625
5.708e-04,-0.0089375,0.0162562
5.712e-04,-0.00821875,0.0162312
5.716e-04,-0.00734375,0.0161922
5.720e-04,-0.00828125,0.0160438
5.724e-04,-0.00821875,0.016
5.728e-04,-0.008375,0.0160016
5.732e-04,-0.00890625,0.0158109
5.736e-04,-0.0090625,0.0161188
5.740e-04,-0.00875,0.0159813
5.744e-04,-0.00803125,0.0159734
5.748e-04,-0.00809375,0.0159031
5.752e-04,-0.0079375,0.0157813
5.756e-04,-0.00840625,0.0156219
5.760e-04,-0.00890625,0.0155
5.764e-04,-0.00859375,0.0156578
5.768e-04,-0.00734375,0.0155688
5.772e-04,-0.00775,0.0156125
5.776e-04,-0.008625,0.0155797
5.780e-04,-0.00859375,0.0154391
5.784e-04,-0.008375,0.0155688
5.788e-04,-0.008375,0.0155172
5.792e-04,-0.00871875,0.0153469
5.796e-04,-0.00890625,0.0153781
5.800e-04,-0.0076875,0.0152312
5.804e-04,-0.00759375,0.0152703
5.808e-04,-0.00840625,0.0153563
5.812e-04,-0.00853125,0.0152859
5.816e-04,-0.008375,0.0152328
5.820e-04,-0.0085,0.0152078
5.824e-04,-0.007125,0.0152406
5.828e-04,-0.00903125,0.0149438
5.832e-04,-0.00828125,0.0150797
5.836e-04,-0.00909375,0.0150719
5.840e-04,-0.0080625,0.0149594
5.844e-04,-0.00834375,0.0150938
5.848e-04,-0.0079375,0.0149094
5.852e-04,-0.00878125,0.0147672
5.856e-04,-0.00884375,0.0148641
5.860e-04,-0.00803125,0.0147922
5.864e-04,-0.00803125,0.0146859
5.868e-04,-0.007875,0.0147672
5.872e-04,-0.00815625,0.0147547
