Model,DPO4054
Firmware Version,2.68

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,4e-05
Horizontal Delay,0.0002172
Sample Interval,4e-07
Record Length,1000
Gating,0.0% to 100.0%
Probe Attenuation,10
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.01
Vertical Position,0
,
,
,
Label,
TIME,CH3
1.720e-05,0.0158828
1.760e-05,0.0159891
1.800e-05,0.0159938
1.840e-05,0.0159328
1.880e-05,0.0158781
1.920e-05,0.0158063
1.960e-05,0.0158578
2.000e-05,0.0156016
2.040e-05,0.0157734
2.080e-05,0.01565
2.120e-05,0.0155375
2.160e-05,0.0154422
2.200e-05,0.0156406
2.240e-05,0.0155281
2.280e-05,0.0155203
2.320e-05,0.0155766
2.360e-05,0.0155063
2.400e-05,0.0154063
2.440e-05,0.015375
2.480e-05,0.0153141
2.520e-05,0.0154063
2.560e-05,0.0153281
2.600e-05,0.0151734
2.640e-05,0.0153016
2.680e-05,0.0154016
2.720e-05,0.0152578
2.760e-05,0.0153484
2.800e-05,0.0151906
2.840e-05,0.0150141
2.880e-05,0.0151625
2.920e-05,0.0152813
2.960e-05,0.01525
3.000e-05,0.0149516
3.040e-05,0.0149766
3.080e-05,0.0149891
3.120e-05,0.0150766
3.160e-05,0.0149438
3.200e-05,0.0150531
3.240e-05,0.0149813
3.280e-05,0.0150094
3.320e-05,0.0149406
3.360e-05,0.015075
3.400e-05,0.0147578
3.440e-05,0.0147516
3.480e-05,0.0148406
3.520e-05,0.0149156
3.560e-05,0.0148172
3.600e-05,0.0146547
3.640e-05,0.0146656
3.680e-05,0.0147359
3.720e-05,0.0146422
3.760e-05,0.0146438
3.800e-05,0.0147156
3.840e-05,0.0146234
3.880e-05,0.0144641
3.920e-05,0.0146594
3.960e-05,0.0145813
4.000e-05,0.0144547
4.040e-05,0.0144172
4.080e-05,0.0142797
4.120e-05,0.0143047
4.160e-05,0.0144781
4.200e-05,0.0144313
4.240e-05,0.0142609
4.280e-05,0.0143734
4.320e-05,0.0142063
4.360e-05,0.0144328
4.400e-05,0.0143141
4.440e-05,0.0141969
4.480e-05,0.0142063
4.520e-05,0.0143922
4.560e-05,0.0142719
4.600e-05,0.0141672
4.640e-05,0.0141922
4.680e-05,0.0140234
4.720e-05,0.0140781
4.760e-05,0.0141266
4.800e-05,0.0140297
4.840e-05,0.0141172
4.880e-05,0.0140375
4.920e-05,0.0139672
4.960e-05,0.0139031
5.000e-05,0.0138875
5.040e-05,0.0139281
5.080e-05,0.0139891
5.120e-05,0.0137688
5.160e-05,0.0138688
5.200e-05,0.0138063
5.240e-05,0.0139094
5.280e-05,0.0139172
5.320e-05,0.0137594
5.360e-05,0.013825
5.400e-05,0.0137688
5.440e-05,0.0136734
5.480e-05,0.0137797
5.520e-05,0.0137641
5.560e-05,0.0137391
5.600e-05,0.0137875
5.640e-05,0.0137516
5.680e-05,0.0136453
5.720e-05,0.0137313
5.760e-05,0.0135813
5.800e-05,0.0134891
5.840e-05,0.0136156
5.880e-05,0.0135937
5.920e-05,0.0135594
5.960e-05,0.0135219
6.000e-05,0.0134875
6.040e-05,0.0135281
6.080e-05,0.0134906
6.120e-05,0.0135172
6.160e-05,0.0135578
6.200e-05,0.0132656
6.240e-05,0.0133438
6.280e-05,0.0133703
6.320e-05,0.0132281
6.360e-05,0.0134047
6.400e-05,0.0132438
6.440e-05,0.0133578
6.480e-05,0.0133688
6.520e-05,0.0133484
6.560e-05,0.0131984
6.600e-05,0.0132328
6.640e-05,0.0131359
6.680e-05,0.0131078
6.720e-05,0.0131672
6.760e-05,0.0132094
6.800e-05,0.0131266
6.840e-05,0.0130516
6.880e-05,0.013075
6.920e-05,0.012975
6.960e-05,0.0131672
7.000e-05,0.0131062
7.040e-05,0.0129141
7.080e-05,0.013125
7.120e-05,0.0128156
7.160e-05,0.0128906
7.200e-05,0.0129219
7.240e-05,0.0129594
7.280e-05,0.01275
7.320e-05,0.0129203
7.360e-05,0.0128234
7.400e-05,0.0127453
7.440e-05,0.0128344
7.480e-05,0.0127609
7.520e-05,0.0127656
7.560e-05,0.0127734
7.600e-05,0.0126438
7.640e-05,0.0128813
7.680e-05,0.0126125
7.720e-05,0.0125
7.760e-05,0.0126922
7.800e-05,0.0126234
7.840e-05,0.0126125
7.880e-05,0.0126516
7.920e-05,0.0124953
7.960e-05,0.0126875
8.000e-05,0.0126219
8.040e-05,0.0126203
8.080e-05,0.0124922
8.120e-05,0.0125422
8.160e-05,0.0124922
8.200e-05,0.0124797
8.240e-05,0.0124297
8.280e-05,0.0124719
8.320e-05,0.0124531
8.360e-05,0.0124984
8.400e-05,0.0124391
8.440e-05,0.0123516
8.480e-05,0.0124875
8.520e-05,0.0124234
8.560e-05,0.0123797
8.600e-05,0.0124016
8.640e-05,0.0124531
8.680e-05,0.012225
8.720e-05,0.0125172
8.760e-05,0.0122906
8.800e-05,0.0123047
8.840e-05,0.0121188
8.880e-05,0.0121828
8.920e-05,0.0121734
8.960e-05,0.0123922
9.000e-05,0.0122141
9.040e-05,0.0120828
9.080e-05,0.0120516
9.120e-05,0.0120641
9.160e-05,0.0121359
9.200e-05,0.0120281
9.240e-05,0.0121469
9.280e-05,0.0121469
9.320e-05,0.0120703
9.360e-05,0.0121609
9.400e-05,0.012025
9.440e-05,0.0119438
9.480e-05,0.0120313
9.520e-05,0.0119797
9.560e-05,0.0121109
9.600e-05,0.0120406
9.640e-05,0.0120109
9.680e-05,0.0118891
9.720e-05,0.0118672
9.760e-05,0.0119797
9.800e-05,0.0116984
9.840e-05,0.0119438
9.880e-05,0.0118516
9.920e-05,0.0117875
9.960e-05,0.0119188
1.000e-04,0.0118734
1.004e-04,0.0118828
1.008e-04,0.0118109
1.012e-04,0.0117188
1.016e-04,0.0117891
1.020e-04,0.0117516
1.024e-04,0.0117859
1.028e-04,0.0117484
1.032e-04,0.0115031
1.036e-04,0.0116891
1.040e-04,0.0117453
1.044e-04,0.0117734
1.048e-04,0.011625
1.052e-04,0.0114281
1.056e-04,0.0115906
1.060e-04,0.0116469
1.064e-04,0.0117047
1.068e-04,0.0116031
1.072e-04,0.0116469
1.076e-04,0.0114734
1.080e-04,0.0114938
1.084e-04,0.0117516
1.088e-04,0.0115297
1.092e-04,0.0115953
1.096e-04,0.0116672
1.100e-04,0.0115922
1.104e-04,0.0115109
1.108e-04,0.0114687
1.112e-04,0.0114578
1.116e-04,0.0114516
1.120e-04,0.0114234
1.124e-04,0.0114922
1.128e-04,0.0113625
1.132e-04,0.0113531
1.136e-04,0.0113484
1.140e-04,0.0112422
1.144e-04,0.0112188
1.148e-04,0.0113016
1.152e-04,0.0113172
1.156e-04,0.0113
1.160e-04,0.0113344
1.164e-04,0.0112063
1.168e-04,0.0112188
1.172e-04,0.0112531
1.176e-04,0.0111156
1.180e-04,0.0110703
1.184e-04,0.0110484
1.188e-04,0.0111469
1.192e-04,0.0112531
1.196e-04,0.0112047
1.200e-04,0.0111438
1.204e-04,0.0111234
1.208e-04,0.011125
1.212e-04,0.0109406
1.216e-04,0.0111953
1.220e-04,0.0109859
1.224e-04,0.0108234
1.228e-04,0.0110156
1.232e-04,0.0109875
1.236e-04,0.0109359
1.240e-04,0.0109547
1.244e-04,0.0108781
1.248e-04,0.0108781
1.252e-04,0.0109563
1.256e-04,0.0109406
1.260e-04,0.0109859
1.264e-04,0.0109484
1.268e-04,0.0106953
1.272e-04,0.01075
1.276e-04,0.0108531
1.280e-04,0.0109141
1.284e-04,0.0108
1.288e-04,0.0106391
1.292e-04,0.0107813
1.296e-04,0.0108062
1.300e-04,0.0107938
1.304e-04,0.0108172
1.308e-04,0.0106063
1.312e-04,0.0105641
1.316e-04,0.0108297
1.320e-04,0.0106
1.324e-04,0.0106172
1.328e-04,0.0106891
1.332e-04,0.0106203
1.336e-04,0.0106578
1.340e-04,0.0106125
1.344e-04,0.0107063
1.348e-04,0.0105625
1.352e-04,0.0104406
1.356e-04,0.010575
1.360e-04,0.0105375
1.364e-04,0.0105875
1.368e-04,0.0104578
1.372e-04,0.0106047
1.376e-04,0.0104594
1.380e-04,0.0105078
1.384e-04,0.0106688
1.388e-04,0.0105328
1.392e-04,0.0105875
1.396e-04,0.0105703
1.400e-04,0.0103422
1.404e-04,0.0104172
1.408e-04,0.0105109
1.412e-04,0.0103469
1.416e-04,0.0105
1.420e-04,0.0102984
1.424e-04,0.0103016
1.428e-04,0.0104484
1.432e-04,0.0101563
1.436e-04,0.0103328
1.440e-04,0.0103516
1.444e-04,0.0102844
1.448e-04,0.0102438
1.452e-04,0.0103594
1.456e-04,0.0103422
1.460e-04,0.0104094
1.464e-04,0.0102641
1.468e-04,0.0101875
1.472e-04,0.0102891
1.476e-04,0.0102438
1.480e-04,0.00999063
1.484e-04,0.0101422
1.488e-04,0.0101641
1.492e-04,0.0100938
1.496e-04,0.0102844
1.500e-04,0.0100578
1.504e-04,0.0101797
1.508e-04,0.01005
1.512e-04,0.0101266
1.516e-04,0.0101172
1.520e-04,0.0100891
1.524e-04,0.0102125
1.528e-04,0.010075
1.532e-04,0.0100156
1.536e-04,0.0101281
1.540e-04,0.0100547
1.544e-04,0.01
1.548e-04,0.0100969
1.552e-04,0.0100187
1.556e-04,0.0101813
1.560e-04,0.0098625
1.564e-04,0.00990469
1.568e-04,0.0100125
1.572e-04,0.01005
1.576e-04,0.0102281
1.580e-04,0.00995156
1.584e-04,0.00995938
1.588e-04,0.00982969
1.592e-04,0.0100031
1.596e-04,0.00992031
1.600e-04,0.00987344
1.604e-04,0.00983906
1.608e-04,0.00986563
1.612e-04,0.0099625
1.616e-04,0.009825
1.620e-04,0.00980469
1.624e-04,0.00976094
1.628e-04,0.0098125
1.632e-04,0.00974688
1.636e-04,0.00991094
1.640e-04,0.00970781
1.644e-04,0.00993438
1.648e-04,0.00964062
1.652e-04,0.00981562
1.656e-04,0.00984375
1.660e-04,0.00968125
1.664e-04,0.00972969
1.668e-04,0.00960156
1.672e-04,0.00954375
1.676e-04,0.00974375
1.680e-04,0.00966719
1.684e-04,0.00958906
1.688e-04,0.00951875
1.692e-04,0.00966563
1.696e-04,0.00965938
1.700e-04,0.00956875
1.704e-04,0.00960469
1.708e-04,0.00967813
1.712e-04,0.00965
1.716e-04,0.0095
1.720e-04,0.00962031
1.724e-04,0.00952656
1.728e-04,0.009525
1.732e-04,0.00950938
1.736e-04,0.00968594
1.740e-04,0.00951562
1.744e-04,0.00969375
1.748e-04,0.00933906
1.752e-04,0.00945156
1.756e-04,0.00965469
1.760e-04,0.00926563
1.764e-04,0.00945156
1.768e-04,0.00926719
1.772e-04,0.00952813
1.776e-04,0.00945469
1.780e-04,0.0093375
1.784e-04,0.00940625
1.788e-04,0.00928281
1.792e-04,0.00923438
1.796e-04,0.00948125
1.800e-04,0.00931719
1.804e-04,0.00928438
1.808e-04,0.00922656
1.812e-04,0.00943125
1.816e-04,0.00927812
1.820e-04,0.00932188
1.824e-04,0.00918594
1.828e-04,0.00928125
1.832e-04,0.0093875
1.836e-04,0.00931563
1.840e-04,0.00924687
1.844e-04,0.00935313
1.848e-04,0.00929063
1.852e-04,0.0091125
1.856e-04,0.00932969
1.860e-04,0.00917656
1.864e-04,0.00920625
1.868e-04,0.00916719
1.872e-04,0.00922031
1.876e-04,0.00914688
1.880e-04,0.00916563
1.884e-04,0.009275
1.888e-04,0.00904688
1.892e-04,0.00898125
1.896e-04,0.00909375
1.900e-04,0.00917969
1.904e-04,0.00897812
1.908e-04,0.00906563
1.912e-04,0.00912813
1.916e-04,0.00919063
1.920e-04,0.00908125
1.924e-04,0.00904063
1.928e-04,0.00907188
1.932e-04,0.00895313
1.936e-04,0.00895313
1.940e-04,0.00893437
1.944e-04,0.00885938
1.948e-04,0.00885625
1.952e-04,0.00909688
1.956e-04,0.00900156
