Model,DPO4054
Firmware Version,2.68

Waveform Type,ANALOG,,,,Waveform Type,ANALOG
Point Format,Y,,,,Point Format,Y
Horizontal Units,s,,,,Horizontal Units,s
Horizontal Scale,0.0002,,,,Horizontal Scale,0.0002
Horizontal Delay,0.000218,,,,Horizontal Delay,0.000218
Sample Interval,2e-06,,,,Sample Interval,2e-06
Record Length,1000,,,,Record Length,1000
Gating,0.0% to 100.0%,,,,Gating,0.0% to 100.0%
Probe Attenuation,1,,,,Probe Attenuation,1
Vertical Units,V,,,,Vertical Units,V/V
Vertical Offset,0,,,,Vertical Offset,0
Vertical Scale,0.01,,,,Vertical Scale,0.5
Vertical Position,0,,,,Vertical Position,0
,,,,,,
,,,,,,
,,,,,,
Label,,,,,Label,
TIME,CH2,CH3,CH4,,TIME,"MATH<CH3/CH2>"
-7.820e-04,0.00959063,0.0120484,-0.010375,,-7.820e-04,1.29563
-7.800e-04,0.00954219,0.0120563,-0.0100938,,-7.800e-04,1.29641
-7.780e-04,0.00948594,0.0118906,-0.0105,,-7.780e-04,1.31414
-7.760e-04,0.00943594,0.0118141,-0.0104063,,-7.760e-04,1.30539
-7.740e-04,0.00937656,0.0118828,-0.0100938,,-7.740e-04,1.30906
-7.720e-04,0.00932812,0.0119469,-0.010625,,-7.720e-04,1.32305
-7.700e-04,0.00927812,0.0119516,-0.01025,,-7.700e-04,1.325
-7.680e-04,0.00921875,0.0118219,-0.0102188,,-7.680e-04,1.32867
-7.660e-04,0.00914531,0.0117281,-0.0104063,,-7.660e-04,1.32422
-7.640e-04,0.00912344,0.0117313,-0.0103125,,-7.640e-04,1.3118
-7.620e-04,0.00904219,0.0116469,-0.0101563,,-7.620e-04,1.31836
-7.600e-04,0.00899375,0.0115656,-0.010375,,-7.600e-04,1.31656
-7.580e-04,0.00895781,0.0116031,-0.00990625,,-7.580e-04,1.31555
-7.560e-04,0.00889375,0.0116359,-0.01,,-7.560e-04,1.31258
-7.540e-04,0.00886094,0.0118172,-0.01025,,-7.540e-04,1.32461
-7.520e-04,0.00881563,0.0116391,-0.0102188,,-7.520e-04,1.3275
-7.500e-04,0.00875,0.0115047,-0.0102188,,-7.500e-04,1.33609
-7.480e-04,0.00869844,0.0113875,-0.0103125,,-7.480e-04,1.3282
-7.460e-04,0.00866094,0.0113953,-0.0100938,,-7.460e-04,1.33336
-7.440e-04,0.00860781,0.0113719,-0.0102188,,-7.440e-04,1.34945
-7.420e-04,0.00856875,0.0113922,-0.0104063,,-7.420e-04,1.33227
-7.400e-04,0.00852813,0.0113625,-0.0100625,,-7.400e-04,1.33148
-7.380e-04,0.00847031,0.0113094,-0.0095625,,-7.380e-04,1.35031
-7.360e-04,0.00843281,0.0111438,-0.00975,,-7.360e-04,1.34336
-7.340e-04,0.00834844,0.0110328,-0.00975,,-7.340e-04,1.36609
-7.320e-04,0.00832344,0.0110609,-0.0100938,,-7.320e-04,1.3675
-7.300e-04,0.008275,0.0109938,-0.0104063,,-7.300e-04,1.37703
-7.280e-04,0.00825,0.0110578,-0.0104063,,-7.280e-04,1.37094
-7.260e-04,0.00819844,0.0109188,-0.01,,-7.260e-04,1.36477
