Model,DPO4054
Firmware Version,2.68

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,4e-05,
Horizontal Delay,0.0007592,
Sample Interval,4e-07,
Record Length,1000,
Gating,0.0% to 100.0%,
Probe Attenuation,1,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,0.2,
Vertical Position,0,
,,
,,
,,
Label,,
TIME,CH2,CH3
6.200e-04,-0.00875,0.0124844
6.204e-04,-0.0093125,0.0124859
6.208e-04,-0.00734375,0.0124578
6.212e-04,-0.00928125,0.0123344
6.216e-04,-0.00865625,0.0124109
6.220e-04,-0.00934375,0.0122828
6.224e-04,-0.00846875,0.0123125
6.228e-04,-0.008625,0.0121547
6.232e-04,-0.00809375,0.0122813
6.236e-04,-0.008375,0.0121781
6.240e-04,-0.00846875,0.0120781
6.244e-04,-0.0085,0.0119953
6.248e-04,-0.00909375,0.0120031
6.252e-04,-0.00853125,0.0120234
6.256e-04,-0.00821875,0.012
6.260e-04,-0.008125,0.0120016
6.264e-04,-0.008125,0.0119172
6.268e-04,-0.0083125,0.0119109
6.272e-04,-0.0090625,0.0118016
6.276e-04,-0.00875,0.0118609
6.280e-04,-0.00715625,0.0118547
6.284e-04,-0.0079375,0.01185
6.288e-04,-0.00896875,0.0117719
6.292e-04,-0.008375,0.0118016
6.296e-04,-0.00859375,0.0117359
6.300e-04,-0.0084375,0.0117563
6.304e-04,-0.009,0.0117172
6.308e-04,-0.0086875,0.0115266
6.312e-04,-0.0081875,0.0116313
6.316e-04,-0.00878125,0.0117656
6.320e-04,-0.00825,0.0115766
6.324e-04,-0.007875,0.0114125
6.328e-04,-0.00865625,0.0115
6.332e-04,-0.0085,0.0115516
6.336e-04,-0.0070625,0.0115203
6.340e-04,-0.00978125,0.011475
6.344e-04,-0.00903125,0.0114109
6.348e-04,-0.0084375,0.0113984
6.352e-04,-0.00878125,0.0114656
6.356e-04,-0.00703125,0.0113719
6.360e-04,-0.008375,0.0113375
6.364e-04,-0.00825,0.0114172
6.368e-04,-0.008,0.0113422
6.372e-04,-0.0074375,0.0112219
6.376e-04,-0.00896875,0.0112828
6.380e-04,-0.00875,0.0112203
6.384e-04,-0.00821875,0.01125
6.388e-04,-0.00809375,0.0111422
6.392e-04,-0.00878125,0.0111141
6.396e-04,-0.00915625,0.0111062
6.400e-04,-0.009,0.0110359
6.404e-04,-0.009125,0.0110766
6.408e-04,-0.00725,0.0109938
6.412e-04,-0.0075625,0.0109484
6.416e-04,-0.00846875,0.0109812
6.420e-04,-0.0085,0.0108875
6.424e-04,-0.00878125,0.0110094
6.428e-04,-0.008375,0.0108297
6.432e-04,-0.00884375,0.0108906
6.436e-04,-0.00853125,0.0108875
6.440e-04,-0.007625,0.0107828
6.444e-04,-0.00834375,0.0109047
6.448e-04,-0.00921875,0.0107188
6.452e-04,-0.0079375,0.0108094
6.456e-04,-0.009,0.0106953
6.460e-04,-0.00859375,0.0106344
6.464e-04,-0.007375,0.0106672
6.468e-04,-0.0090625,0.0106422
6.472e-04,-0.009,0.0106234
6.476e-04,-0.00984375,0.0106516
6.480e-04,-0.0086875,0.0106063
6.484e-04,-0.00815625,0.0107016
6.488e-04,-0.00846875,0.0105328
6.492e-04,-0.008875,0.0104813
6.496e-04,-0.00909375,0.0105469
6.500e-04,-0.00878125,0.0104797
6.504e-04,-0.0089375,0.010525
6.508e-04,-0.00853125,0.0103219
6.512e-04,-0.00871875,0.0103906
6.516e-04,-0.0085,0.0104078
6.520e-04,-0.00821875,0.010475
6.524e-04,-0.00859375,0.0103344
6.528e-04,-0.009,0.0101125
6.532e-04,-0.00875,0.0103063
6.536e-04,-0.0079375,0.0102359
6.540e-04,-0.0086875,0.0101219
6.544e-04,-0.00809375,0.0103016
6.548e-04,-0.00828125,0.0102484
6.552e-04,-0.00896875,0.0100484
6.556e-04,-0.00815625,0.0100844
6.560e-04,-0.00940625,0.0101141
6.564e-04,-0.00884375,0.0100891
6.568e-04,-0.0083125,0.0100953
6.572e-04,-0.008375,0.0101312
6.576e-04,-0.0085625,0.0100266
6.580e-04,-0.00865625,0.00993594
6.584e-04,-0.00878125,0.00989219
6.588e-04,-0.0086875,0.0101
6.592e-04,-0.00709375,0.00995781
6.596e-04,-0.00940625,0.00985469
6.600e-04,-0.00871875,0.00976719
6.604e-04,-0.009375,0.00990937
6.608e-04,-0.00840625,0.00987188
6.612e-04,-0.0081875,0.0097875
6.616e-04,-0.0075625,0.00980938
6.620e-04,-0.0091875,0.00974688
6.624e-04,-0.00865625,0.00973906
6.628e-04,-0.007875,0.00962656
6.632e-04,-0.00946875,0.009775
6.636e-04,-0.008875,0.00976875
6.640e-04,-0.00828125,0.00967656
6.644e-04,-0.00865625,0.00964062
6.648e-04,-0.0088125,0.00962813
6.652e-04,-0.009375,0.00947656
6.656e-04,-0.00884375,0.00954219
6.660e-04,-0.0085,0.009475
6.664e-04,-0.007375,0.0096625
6.668e-04,-0.00821875,0.00945781
6.672e-04,-0.009125,0.00947188
6.676e-04,-0.0085625,0.00952969
6.680e-04,-0.0088125,0.00938906
6.684e-04,-0.00803125,0.00945469
6.688e-04,-0.0095625,0.00940625
6.692e-04,-0.008875,0.0093875
6.696e-04,-0.008125,0.00946406
6.700e-04,-0.00865625,0.00930156
6.704e-04,-0.0079375,0.00938125
6.708e-04,-0.00884375,0.00924219
6.712e-04,-0.0086875,0.00925
6.716e-04,-0.0095,0.00917969
6.720e-04,-0.00715625,0.00931563
6.724e-04,-0.00978125,0.00918437
6.728e-04,-0.00853125,0.0091625
6.732e-04,-0.00878125,0.00911094
6.736e-04,-0.0086875,0.00914063
6.740e-04,-0.00803125,0.00902031
6.744e-04,-0.008125,0.00900938
6.748e-04,-0.0090625,0.00907188
6.752e-04,-0.0088125,0.00899844
6.756e-04,-0.007625,0.00906406
6.760e-04,-0.0091875,0.00901563
6.764e-04,-0.0088125,0.00900156
6.768e-04,-0.00821875,0.00886875
6.772e-04,-0.00834375,0.0089375
6.776e-04,-0.00821875,0.00892813
6.780e-04,-0.00875,0.00887969
6.784e-04,-0.0088125,0.00883125
6.788e-04,-0.0086875,0.00897031
6.792e-04,-0.00771875,0.00891406
6.796e-04,-0.009625,0.00891094
6.800e-04,-0.00828125,0.00891562
6.804e-04,-0.00896875,0.00896094
6.808e-04,-0.00859375,0.0086375
6.812e-04,-0.0085,0.00863906
6.816e-04,-0.00903125,0.00866719
6.820e-04,-0.00903125,0.00879062
6.824e-04,-0.0079375,0.00875937
6.828e-04,-0.00834375,0.00863437
6.832e-04,-0.00884375,0.0086625
6.836e-04,-0.0081875,0.00864375
6.840e-04,-0.0089375,0.00849375
6.844e-04,-0.0085625,0.00864688
6.848e-04,-0.00703125,0.00847812
6.852e-04,-0.00984375,0.00839687
6.856e-04,-0.0089375,0.00842031
6.860e-04,-0.00971875,0.00845781
6.864e-04,-0.0085,0.00856406
6.868e-04,-0.0080625,0.00850625
6.872e-04,-0.00834375,0.00856563
6.876e-04,-0.0076875,0.00855781
6.880e-04,-0.0090625,0.00830312
6.884e-04,-0.008125,0.00837813
6.888e-04,-0.00890625,0.00831563
6.892e-04,-0.00834375,0.00829219
6.896e-04,-0.008,0.00830156
6.900e-04,-0.00828125,0.00824688
6.904e-04,-0.008,0.00828906
6.908e-04,-0.00871875,0.00822969
6.912e-04,-0.009375,0.00819844
6.916e-04,-0.00884375,0.00827656
6.920e-04,-0.0075625,0.00824062
6.924e-04,-0.00825,0.00820469
6.928e-04,-0.00828125,0.00820781
6.932e-04,-0.008875,0.00809219
6.936e-04,-0.0083125,0.00810156
6.940e-04,-0.0086875,0.0082625
6.944e-04,-0.00959375,0.00809531
6.948e-04,-0.00859375,0.00801563
6.952e-04,-0.008,0.00807813
6.956e-04,-0.00834375,0.00807813
6.960e-04,-0.008625,0.00803594
6.964e-04,-0.00834375,0.00809063
6.968e-04,-0.0086875,0.00802188
6.972e-04,-0.009,0.00802656
6.976e-04,-0.007,0.00793281
6.980e-04,-0.00934375,0.00787812
6.984e-04,-0.0085625,0.00792969
6.988e-04,-0.00890625,0.00796563
6.992e-04,-0.00921875,0.00786719
6.996e-04,-0.008,0.00794844
7.000e-04,-0.0083125,0.0078875
7.004e-04,-0.00821875,0.00792031
7.008e-04,-0.009,0.00774375
7.012e-04,-0.00815625,0.00775938
7.016e-04,-0.0094375,0.00759063
7.020e-04,-0.00803125,0.00776094
7.024e-04,-0.0078125,0.00785469
7.028e-04,-0.00840625,0.00782969
7.032e-04,-0.00796875,0.00783594
7.036e-04,-0.00890625,0.007625
7.040e-04,-0.00928125,0.00769844
7.044e-04,-0.00875,0.00757969
7.048e-04,-0.007,0.00771094
