Model,DPO4054
Firmware Version,2.68

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,4e-05
Horizontal Delay,0.0007592
Sample Interval,4e-07
Record Length,1000
Gating,0.0% to 100.0%
Probe Attenuation,10
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.01
Vertical Position,0
,
,
,
Label,
TIME,CH3
5.592e-04,0.0180516
5.596e-04,0.017875
5.600e-04,0.0179344
5.604e-04,0.0178438
5.608e-04,0.0177594
5.612e-04,0.0178734
5.616e-04,0.0177531
5.620e-04,0.0177125
5.624e-04,0.0176891
5.628e-04,0.0176281
5.632e-04,0.0176125
5.636e-04,0.0174047
5.640e-04,0.0174359
5.644e-04,0.0173906
5.648e-04,0.0174
5.652e-04,0.0174047
5.656e-04,0.0173797
5.660e-04,0.0171141
5.664e-04,0.0173703
5.668e-04,0.0171484
5.672e-04,0.0171359
5.676e-04,0.0169438
5.680e-04,0.0169641
5.684e-04,0.0169875
5.688e-04,0.0170031
5.692e-04,0.0170391
5.696e-04,0.0168641
5.700e-04,0.0169125
5.704e-04,0.0168125
5.708e-04,0.0168547
5.712e-04,0.0168813
5.716e-04,0.0166078
5.720e-04,0.0166078
5.724e-04,0.0166313
5.728e-04,0.0167141
5.732e-04,0.0165656
5.736e-04,0.0164172
5.740e-04,0.0164812
5.744e-04,0.0164094
5.748e-04,0.0163828
5.752e-04,0.0163313
5.756e-04,0.0162297
5.760e-04,0.0162344
5.764e-04,0.0163625
5.768e-04,0.0163859
5.772e-04,0.0162844
5.776e-04,0.0162422
5.780e-04,0.0162625
5.784e-04,0.0161094
5.788e-04,0.0159656
5.792e-04,0.0161375
5.796e-04,0.0159734
5.800e-04,0.0159891
5.804e-04,0.0159406
5.808e-04,0.0159875
5.812e-04,0.0158875
5.816e-04,0.0158984
5.820e-04,0.0158187
5.824e-04,0.0158875
5.828e-04,0.0157156
5.832e-04,0.0157125
5.836e-04,0.0156656
5.840e-04,0.0156219
5.844e-04,0.0156484
5.848e-04,0.0154984
5.852e-04,0.0155109
5.856e-04,0.0155016
5.860e-04,0.0155578
5.864e-04,0.0153906
5.868e-04,0.0151953
5.872e-04,0.0152047
5.876e-04,0.0151953
5.880e-04,0.0151938
5.884e-04,0.0151188
5.888e-04,0.015075
5.892e-04,0.0151594
5.896e-04,0.0152688
5.900e-04,0.0150281
5.904e-04,0.0150375
5.908e-04,0.0148688
5.912e-04,0.0148938
5.916e-04,0.0149453
5.920e-04,0.0150375
5.924e-04,0.0150047
5.928e-04,0.0149141
5.932e-04,0.0149125
5.936e-04,0.0147922
5.940e-04,0.0147672
5.944e-04,0.0147969
5.948e-04,0.0145797
5.952e-04,0.0146516
5.956e-04,0.0146594
5.960e-04,0.0146875
5.964e-04,0.0145734
5.968e-04,0.0145344
5.972e-04,0.0145906
5.976e-04,0.01435
5.980e-04,0.0143859
5.984e-04,0.0145922
5.988e-04,0.0143047
5.992e-04,0.0143641
5.996e-04,0.0142234
6.000e-04,0.0142906
6.004e-04,0.0142797
6.008e-04,0.0141391
6.012e-04,0.0139953
6.016e-04,0.0141
6.020e-04,0.0140969
6.024e-04,0.0141969
6.028e-04,0.0139438
6.032e-04,0.0140016
6.036e-04,0.0140203
6.040e-04,0.0139219
6.044e-04,0.0139938
6.048e-04,0.0139891
6.052e-04,0.0138828
6.056e-04,0.0137938
6.060e-04,0.0137359
6.064e-04,0.0138063
6.068e-04,0.0137766
6.072e-04,0.0136125
6.076e-04,0.0136375
6.080e-04,0.01385
6.084e-04,0.0137906
6.088e-04,0.0135266
6.092e-04,0.0135469
6.096e-04,0.0134281
6.100e-04,0.0133516
6.104e-04,0.0133641
6.108e-04,0.0134547
6.112e-04,0.0133656
6.116e-04,0.0134922
6.120e-04,0.0134094
6.124e-04,0.0133016
6.128e-04,0.0131875
6.132e-04,0.0131922
6.136e-04,0.0132891
6.140e-04,0.0130813
6.144e-04,0.0132813
6.148e-04,0.0130219
6.152e-04,0.0131078
6.156e-04,0.0131531
6.160e-04,0.0129828
6.164e-04,0.0130016
6.168e-04,0.0129719
6.172e-04,0.0130094
6.176e-04,0.0128406
6.180e-04,0.0129016
6.184e-04,0.0131297
6.188e-04,0.0127453
6.192e-04,0.0127109
6.196e-04,0.0127641
6.200e-04,0.012625
6.204e-04,0.0128375
6.208e-04,0.0128062
6.212e-04,0.0125047
6.216e-04,0.0126266
6.220e-04,0.0124313
6.224e-04,0.0125219
6.228e-04,0.0124656
6.232e-04,0.0126297
6.236e-04,0.0124984
6.240e-04,0.0125813
6.244e-04,0.0124766
6.248e-04,0.0123797
6.252e-04,0.0123891
6.256e-04,0.0122734
6.260e-04,0.0124188
6.264e-04,0.0123016
6.268e-04,0.0122875
6.272e-04,0.0122594
6.276e-04,0.0121047
6.280e-04,0.0122266
6.284e-04,0.0122766
6.288e-04,0.0121344
6.292e-04,0.0122125
6.296e-04,0.0121703
6.300e-04,0.0120438
6.304e-04,0.0120422
6.308e-04,0.0119234
6.312e-04,0.0119906
6.316e-04,0.0120031
6.320e-04,0.0119281
6.324e-04,0.0119047
6.328e-04,0.0118141
6.332e-04,0.0119016
6.336e-04,0.0118688
6.340e-04,0.0117828
6.344e-04,0.0117438
6.348e-04,0.0118312
6.352e-04,0.0116781
6.356e-04,0.0116859
6.360e-04,0.0117781
6.364e-04,0.0116672
6.368e-04,0.0115
6.372e-04,0.01155
6.376e-04,0.0114781
6.380e-04,0.0113594
6.384e-04,0.0114859
6.388e-04,0.0114516
6.392e-04,0.01145
6.396e-04,0.0115188
6.400e-04,0.0113328
6.404e-04,0.0112984
6.408e-04,0.011425
6.412e-04,0.0114094
6.416e-04,0.0112
6.420e-04,0.0113766
6.424e-04,0.0112766
6.428e-04,0.0111547
6.432e-04,0.0112797
6.436e-04,0.01105
6.440e-04,0.0111172
6.444e-04,0.0110859
6.448e-04,0.0109859
6.452e-04,0.0111578
6.456e-04,0.0111062
6.460e-04,0.0109906
6.464e-04,0.0110094
6.468e-04,0.0109391
6.472e-04,0.0108281
6.476e-04,0.0107938
6.480e-04,0.0107781
6.484e-04,0.0109719
6.488e-04,0.0108656
6.492e-04,0.0109156
6.496e-04,0.0106266
6.500e-04,0.0106969
6.504e-04,0.010825
6.508e-04,0.0105656
6.512e-04,0.0106594
6.516e-04,0.010575
6.520e-04,0.0107281
6.524e-04,0.0105766
6.528e-04,0.0106781
6.532e-04,0.0106234
6.536e-04,0.0105625
6.540e-04,0.0105359
6.544e-04,0.0104469
6.548e-04,0.0103859
6.552e-04,0.0105266
6.556e-04,0.0104203
6.560e-04,0.0102813
6.564e-04,0.0103344
6.568e-04,0.0102391
6.572e-04,0.0101609
6.576e-04,0.0103781
6.580e-04,0.0101922
6.584e-04,0.0102219
6.588e-04,0.0101547
6.592e-04,0.0101844
6.596e-04,0.0100469
6.600e-04,0.0100609
6.604e-04,0.0100187
6.608e-04,0.010175
6.612e-04,0.0102078
6.616e-04,0.00989219
6.620e-04,0.0101891
6.624e-04,0.00990313
6.628e-04,0.00998906
6.632e-04,0.00998594
6.636e-04,0.00985781
6.640e-04,0.00988438
6.644e-04,0.00995156
6.648e-04,0.00975625
6.652e-04,0.0099
6.656e-04,0.00985938
6.660e-04,0.009575
6.664e-04,0.0098625
6.668e-04,0.00970469
6.672e-04,0.0098125
6.676e-04,0.00957344
6.680e-04,0.00969688
6.684e-04,0.00959844
6.688e-04,0.00966094
6.692e-04,0.00977188
6.696e-04,0.00949063
6.700e-04,0.00950781
6.704e-04,0.00946563
6.708e-04,0.00951875
6.712e-04,0.00969219
6.716e-04,0.00953438
6.720e-04,0.00958438
6.724e-04,0.00944844
6.728e-04,0.00934688
6.732e-04,0.00953594
6.736e-04,0.00936719
6.740e-04,0.00930937
6.744e-04,0.00909531
6.748e-04,0.00916094
6.752e-04,0.00941719
6.756e-04,0.00927812
6.760e-04,0.00917656
6.764e-04,0.00914219
6.768e-04,0.00911563
6.772e-04,0.0094375
6.776e-04,0.0092375
6.780e-04,0.00924687
6.784e-04,0.0091125
6.788e-04,0.00900781
6.792e-04,0.00912969
6.796e-04,0.00906875
6.800e-04,0.00899844
6.804e-04,0.00906875
6.808e-04,0.00897969
6.812e-04,0.00896875
6.816e-04,0.00901094
6.820e-04,0.00894531
6.824e-04,0.00904375
6.828e-04,0.00885938
6.832e-04,0.00890156
6.836e-04,0.00872031
6.840e-04,0.00882187
6.844e-04,0.00897188
6.848e-04,0.00887188
6.852e-04,0.00863906
6.856e-04,0.008775
6.860e-04,0.00868594
6.864e-04,0.00874531
6.868e-04,0.00875625
6.872e-04,0.00868438
6.876e-04,0.00848906
6.880e-04,0.00844688
6.884e-04,0.00865156
6.888e-04,0.00843281
6.892e-04,0.00844063
6.896e-04,0.00842188
6.900e-04,0.00846094
6.904e-04,0.00848125
6.908e-04,0.00828438
6.912e-04,0.00832031
6.916e-04,0.00819844
6.920e-04,0.00853906
6.924e-04,0.00840313
6.928e-04,0.00845469
6.932e-04,0.00822344
6.936e-04,0.00819531
6.940e-04,0.008175
6.944e-04,0.00820625
6.948e-04,0.0082
6.952e-04,0.00817188
6.956e-04,0.00816094
6.960e-04,0.00815313
6.964e-04,0.00819219
6.968e-04,0.00800781
6.972e-04,0.00820937
6.976e-04,0.00815781
6.980e-04,0.007975
6.984e-04,0.00811094
6.988e-04,0.00791406
6.992e-04,0.00799219
6.996e-04,0.00810781
7.000e-04,0.00787656
7.004e-04,0.00794688
7.008e-04,0.00791406
7.012e-04,0.00810469
7.016e-04,0.00775313
7.020e-04,0.00793438
7.024e-04,0.00810313
7.028e-04,0.00792656
7.032e-04,0.00785625
7.036e-04,0.00790156
7.040e-04,0.00778125
7.044e-04,0.00772656
7.048e-04,0.00784531
7.052e-04,0.00783594
7.056e-04,0.007725
7.060e-04,0.00766563
7.064e-04,0.00770625
7.068e-04,0.00761719
7.072e-04,0.007425
7.076e-04,0.00764219
7.080e-04,0.00769531
7.084e-04,0.00752031
7.088e-04,0.00751719
7.092e-04,0.00775156
7.096e-04,0.00737344
7.100e-04,0.0075625
7.104e-04,0.00754531
7.108e-04,0.00760625
7.112e-04,0.00745
7.116e-04,0.00752188
7.120e-04,0.00744844
7.124e-04,0.00735781
7.128e-04,0.00724219
7.132e-04,0.00744219
7.136e-04,0.00739219
7.140e-04,0.00735313
7.144e-04,0.00721094
7.148e-04,0.00717344
7.152e-04,0.00727813
7.156e-04,0.00735313
7.160e-04,0.00703125
7.164e-04,0.00725469
7.168e-04,0.00709375
7.172e-04,0.00729063
7.176e-04,0.00705781
7.180e-04,0.00711719
7.184e-04,0.00707813
7.188e-04,0.00693125
7.192e-04,0.00717188
7.196e-04,0.00729063
7.200e-04,0.00699844
7.204e-04,0.00708438
7.208e-04,0.00697656
7.212e-04,0.00706719
7.216e-04,0.00710625
7.220e-04,0.00687969
7.224e-04,0.0069
7.228e-04,0.00684688
7.232e-04,0.00696875
7.236e-04,0.00675469
7.240e-04,0.00683281
7.244e-04,0.00683906
7.248e-04,0.0067
7.252e-04,0.00689688
7.256e-04,0.00681563
7.260e-04,0.0066875
7.264e-04,0.00677969
7.268e-04,0.00654688
7.272e-04,0.00671719
7.276e-04,0.00657344
7.280e-04,0.00683594
7.284e-04,0.00672813
7.288e-04,0.00665938
7.292e-04,0.00666563
7.296e-04,0.00656719
7.300e-04,0.00672188
7.304e-04,0.00673594
7.308e-04,0.0064875
7.312e-04,0.0067125
7.316e-04,0.00651719
7.320e-04,0.00648281
7.324e-04,0.0066
7.328e-04,0.00660313
7.332e-04,0.00649219
7.336e-04,0.00640312
7.340e-04,0.00655312
7.344e-04,0.00661094
7.348e-04,0.00650313
7.352e-04,0.00634375
7.356e-04,0.00634844
7.360e-04,0.00639688
7.364e-04,0.00637344
7.368e-04,0.00640156
7.372e-04,0.00628281
7.376e-04,0.00608438
