Stimulus (mV),Current (mA),,,,,,,,
-428.7179565,-0.000150938,,,,,,,,
-378.7546082,-0.000153282,,,,,,,,
-427.6434937,-0.000152345,,,,,,,,
-377.6801147,-0.000152813,,,,,,,,
-427.1062622,-0.000150001,,,,,,,,
-377.1428833,-0.000153282,,,,,,,,
-426.0317688,-0.000152345,,,,,,,,
-376.0683899,-0.000153282,,,,,,,,
-424.9572754,-0.000152345,,,,,,,,
-374.993927,-0.00015422,,,,,,,,
-423.8828125,-0.000152813,,,,,,,,
-373.9194336,-0.000154688,,,,,,,,
-422.8083191,-0.000152813,,,,,,,,
-372.8449707,-0.000156095,,,,,,,,
-421.7338562,-0.000152813,,,,,,,,
-371.7704773,-0.000155157,,,,,,,,
-420.6593628,-0.000154688,,,,,,,,
-370.6959839,-0.000156563,,,,,,,,
-420.1221313,-0.00015422,,,,,,,,
-370.1587524,-0.000156095,,,,,,,,
-419.0476379,-0.00015422,,,,,,,,
-369.0842896,-0.000156095,,,,,,,,
-417.9731445,-0.000155626,,,,,,,,
-368.0097961,-0.000156095,,,,,,,,
-416.8986816,-0.000155157,,,,,,,,
-366.9353027,-0.000156095,,,,,,,,
-415.8242188,-0.000155626,,,,,,,,
-365.8608398,-0.000157032,,,,,,,,
-414.7497253,-0.000156095,,,,,,,,
-364.7863464,-0.000158438,,,,,,,,
-413.6752319,-0.000156563,,,,,,,,
-363.711853,-0.000158438,,,,,,,,
-413.1380005,-0.000157032,,,,,,,,
-363.1746216,-0.000158438,,,,,,,,
-412.0635071,-0.000156563,,,,,,,,
-362.1001587,-0.000159845,,,,,,,,
-410.9890442,-0.000157032,,,,,,,,
-361.0256653,-0.000159845,,,,,,,,
-409.9145508,-0.000157032,,,,,,,,
-359.9511719,-0.000159376,,,,,,,,
-408.8400879,-0.000158438,,,,,,,,
-358.876709,-0.000158907,,,,,,,,
-407.7655945,-0.000157032,,,,,,,,
-357.8022156,-0.000160313,,,,,,,,
-406.6911011,-0.00015797,,,,,,,,
-356.7277222,-0.000158907,,,,,,,,
-406.1538696,-0.000159845,,,,,,,,
-356.1904907,-0.000160313,,,,,,,,
-405.0794067,-0.000159376,,,,,,,,
-355.1160278,-0.000160782,,,,,,,,
-404.0049133,-0.000159845,,,,,,,,
-354.0415344,-0.000160782,,,,,,,,
-402.9304199,-0.000160782,,,,,,,,
-352.967041,-0.000161251,,,,,,,,
-401.855957,-0.000159845,,,,,,,,
-351.8925781,-0.000161251,,,,,,,,
-400.7814636,-0.000160313,,,,,,,,
-350.8180847,-0.000163126,,,,,,,,
-399.7069702,-0.000160313,,,,,,,,
-349.7435913,-0.000163126,,,,,,,,
-399.1697388,-0.00016172,,,,,,,,
-349.2063599,-0.000162188,,,,,,,,
-398.0952759,-0.000160782,,,,,,,,
-348.131897,-0.000164532,,,,,,,,
-397.0207825,-0.000162188,,,,,,,,
-347.0574036,-0.000163595,,,,,,,,
-395.9462891,-0.000161251,,,,,,,,
-345.9829102,-0.000164063,,,,,,,,
-394.8718262,-0.000162188,,,,,,,,
-344.9084473,-0.000165001,,,,,,,,
-393.7973328,-0.000163595,,,,,,,,
-343.8339844,-0.000165001,,,,,,,,
-392.7228394,-0.000162188,,,,,,,,
-342.7594604,-0.00016547,,,,,,,,
-391.6483765,-0.000164063,,,,,,,,
-341.6849976,-0.000164063,,,,,,,,
-391.111145,-0.000163126,,,,,,,,
-341.1477661,-0.00016547,,,,,,,,
-390.0366516,-0.000163126,,,,,,,,
-340.0732727,-0.000164532,,,,,,,,
-388.9621582,-0.000164532,,,,,,,,
-338.9987793,-0.000164063,,,,,,,,
-387.8876953,-0.000164063,,,,,,,,
-337.9243164,-0.000165939,,,,,,,,
-386.8132019,-0.000164532,,,,,,,,
-336.8498535,-0.00016547,,,,,,,,
-385.738739,-0.000164063,,,,,,,,
-335.7753601,-0.00016547,,,,,,,,
-384.6642456,-0.00016547,,,,,,,,
-334.7008667,-0.000167345,,,,,,,,
-384.1270142,-0.000165001,,,,,,,,
-334.1636353,-0.000166407,,,,,,,,
-383.0525208,-0.000165939,,,,,,,,
-333.0891724,-0.000167345,,,,,,,,
