N,X,Y,Z,Time,Jitter,Time Calculated,Sender
112,-1.025,0.007,0.007,1654115182.202194,0.6798370838165262,1654115181.522357,20.0
113,-1.026,0.007,0.007,1654115182.202194,0.4798370838165269,1654115181.7223568,20.0
114,-1.025,0.007,0.007,1654115182.202194,0.2798370838165276,1654115181.9223568,20.0
115,-1.026,0.006,0.007,1654115182.202194,0.07983708381652832,1654115182.122357,20.0
116,-1.025,0.007,0.007,1654115182.317205,-0.005151939392092686,1654115182.322357,20.0
117,-1.025,0.006,0.007,1654115182.646139,0.12378201484679963,1654115182.522357,20.0
118,-1.025,0.006,0.007,1654115182.722551,0.00019421577453471173,1654115182.7223568,20.0
119,-1.025,0.007,0.007,1654115182.922475,0.00011820793151784414,1654115182.9223568,20.0
120,-1.025,0.007,0.007,1654115183.093422,-0.028934955596923828,1654115183.122357,20.0
121,-1.025,0.007,0.007,1654115183.297293,-0.02506394386291788,1654115183.322357,20.0
122,-1.025,0.007,0.008,1654115183.50264,-0.019716882705690608,1654115183.522357,20.0
123,-1.025,0.007,0.008,1654115183.706713,-0.015643930435182085,1654115183.7223568,20.0
124,-1.025,0.007,0.007,1654115183.910709,-0.011647987365723367,1654115183.9223568,20.0
125,-1.025,0.007,0.007,1654115184.116459,-0.005897998809814453,1654115184.122357,20.0
126,-1.025,0.007,0.008,1654115184.322039,-0.00031800270080850623,1654115184.322357,20.0
127,-1.025,0.007,0.007,1654115184.512419,-0.00993790626526092,1654115184.522357,20.0
128,-1.025,0.007,0.007,1654115184.717805,-0.004551982879640093,1654115184.7223568,20.0
129,-1.025,0.007,0.008,1654115184.907094,-0.015262889862061257,1654115184.9223568,20.0
130,-1.025,0.007,0.007,1654115185.097598,-0.02475881576538086,1654115185.122357,20.0
131,-1.025,0.007,0.007,1654115185.303759,-0.018597793579104405,1654115185.322357,20.0
132,-1.025,0.007,0.007,1654115185.509581,-0.012775802612306819,1654115185.522357,20.0
133,-1.025,0.007,0.007,1654115185.715254,-0.00710282325744771,1654115185.7223568,20.0
134,-1.026,0.007,0.007,1654115185.920717,-0.0016398906707770777,1654115185.9223568,20.0
135,-1.025,0.007,0.007,1654115186.120472,-0.0018849372863769531,1654115186.122357,20.0
136,-1.025,0.007,0.007,1654115186.3259,0.0035431861877412985,1654115186.322357,20.0
137,-1.025,0.007,0.007,1654115186.516345,-0.006011867523195491,1654115186.522357,20.0
138,-1.025,0.006,0.007,1654115186.769422,0.047065162658689985,1654115186.7223568,20.0
139,-1.025,0.006,0.008,1654115186.91117,-0.011186885833740945,1654115186.9223568,20.0
140,-1.025,0.006,0.007,1654115187.10258,-0.01977682113647461,1654115187.122357,20.0
141,-1.025,0.007,0.007,1654115187.308381,-0.013975811004641514,1654115187.322357,20.0
142,-1.025,0.006,0.007,1654115187.514272,-0.008084917068483577,1654115187.522357,20.0
143,-1.025,0.007,0.007,1654115187.782856,0.060499095916746626,1654115187.7223568,20.0
144,-1.025,0.007,0.007,1654115187.90829,-0.01406698226928782,1654115187.9223568,20.0
145,-1.025,0.007,0.008,1654115188.113337,-0.009019851684570312,1654115188.122357,20.0
146,-1.025,0.007,0.007,1654115188.318807,-0.0035500049591092875,1654115188.322357,20.0
147,-1.025,0.007,0.008,1654115188.508504,-0.013852977752687679,1654115188.522357,20.0
148,-1.025,0.007,0.007,1654115188.699439,-0.022917842864991655,1654115188.7223568,20.0
149,-1.025,0.007,0.007,1654115188.904247,-0.018109846115113015,1654115188.9223568,20.0
150,-1.025,0.007,0.007,1654115189.110331,-0.012025833129882812,1654115189.122357,20.0
151,-1.025,0.007,0.007,1654115189.315709,-0.006647777557375889,1654115189.322357,20.0
152,-1.025,0.006,0.008,1654115189.506151,-0.016205930709841,1654115189.522357,20.0
153,-1.025,0.007,0.007,1654115189.711065,-0.011291837692262163,1654115189.7223568,20.0
154,-1.025,0.007,0.007,1654115189.916816,-0.005540895462036843,1654115189.9223568,20.0
155,-1.025,0.006,0.007,1654115190.122325,-3.1948089599609375e-05,1654115190.122357,20.0
156,-1.025,0.007,0.007,1654115190.296878,-0.0254787921905546,1654115190.322357,20.0
157,-1.025,0.007,0.007,1654115190.502031,-0.020325803756716,1654115190.522357,20.0
158,-1.025,0.007,0.007,1654115190.706214,-0.016142940521241655,1654115190.7223568,20.0
159,-1.025,0.007,0.007,1654115190.910632,-0.011724996566773171,1654115190.9223568,20.0
160,-1.025,0.007,0.007,1654115191.116437,-0.005919933319091797,1654115191.122357,20.0
161,-1.025,0.007,0.007,1654115191.306216,-0.016140890121462803,1654115191.322357,20.0
162,-1.025,0.007,0.008,1654115191.53507,0.012713050842286577,1654115191.522357,20.0
163,-1.026,0.007,0.007,1654115191.801579,0.07922210693359233,1654115191.7223568,20.0
164,-1.026,0.007,0.007,1654115191.923462,0.0011050224304156586,1654115191.9223568,20.0
165,-1.025,0.007,0.007,1654115192.096744,-0.025612831115722656,1654115192.122357,20.0
166,-1.025,0.007,0.007,1654115193.085017,0.762660074234006,1654115192.322357,20.0
167,-1.025,0.007,0.007,1654115193.085017,0.5626600742340102,1654115192.522357,20.0
168,-1.025,0.007,0.007,1654115193.085017,0.36266007423400737,1654115192.7223568,20.0
169,-1.025,0.007,0.007,1654115193.085017,0.16266007423400453,1654115192.9223568,20.0
170,-1.025,0.007,0.007,1654115193.116638,-0.00571894645690918,1654115193.122357,20.0
171,-1.025,0.007,0.007,1654115194.090095,0.7677381515502901,1654115193.322357,20.0
172,-1.025,0.007,0.007,1654115194.090095,0.5677381515502944,1654115193.522357,20.0
173,-1.025,0.007,0.008,1654115194.090095,0.36773815155029155,1654115193.7223568,20.0
174,-1.025,0.007,0.007,1654115194.090095,0.1677381515502887,1654115193.9223568,20.0
175,-1.025,0.007,0.007,1654115194.10568,-0.016676902770996094,1654115194.122357,20.0
176,-1.025,0.007,0.008,1654115194.607549,0.2851920604705782,1654115194.322357,20.0
177,-1.025,0.007,0.008,1654115194.607549,0.08519206047058248,1654115194.522357,20.0
178,-1.025,0.007,0.008,1654115195.627911,0.9055541992187486,1654115194.7223568,20.0
179,-1.025,0.007,0.007,1654115195.627911,0.7055541992187457,1654115194.9223568,20.0
180,-1.025,0.007,0.007,1654115195.627911,0.50555419921875,1654115195.122357,20.0
181,-1.025,0.007,0.008,1654115195.627911,0.30555419921874716,1654115195.322357,20.0
182,-1.025,0.007,0.007,1654115195.627911,0.10555419921875142,1654115195.522357,20.0
183,-1.025,0.007,0.007,1654115195.768441,0.046084070205687055,1654115195.7223568,20.0
184,-1.025,0.007,0.007,1654115196.022471,0.10011405944823792,1654115195.9223568,20.0
185,-1.025,0.007,0.007,1654115196.101486,-0.02087092399597168,1654115196.122357,20.0
186,-1.025,0.007,0.007,1654115196.305499,-0.0168578147888212,1654115196.322357,20.0
